2026-04-19T00:00:34.508963+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:36:01.174183+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:36:38.167614+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:37:14.767993+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:38:14.103488+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:38:51.660970+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:39:28.008132+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:40:03.456599+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:40:39.749490+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:41:15.954265+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:41:52.185617+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:42:27.966766+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:43:04.105795+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:43:40.921788+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:44:16.897286+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:44:53.201775+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:45:30.156802+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:46:37.752201+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:47:16.467791+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:47:52.322708+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:48:45.305421+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:49:22.648470+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:49:59.313451+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:50:53.781634+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:51:31.605267+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:52:07.983617+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:53:02.459738+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:53:38.857063+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:54:15.069137+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:55:07.921327+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:55:44.723179+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:56:21.784818+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:57:13.286200+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:57:49.839358+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:58:25.866452+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:59:02.081573+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:59:40.581130+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:00:20.199945+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:00:59.686707+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:01:37.788473+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:02:13.758484+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:02:50.341451+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:03:27.722517+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:04:03.869065+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:04:41.681842+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:07:18.671587+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:12:08.735921+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:17:23.250305+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:22:45.199978+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:28:39.016007+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:34:24.818605+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:39:42.254939+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:44:54.235298+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:50:32.592274+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:55:49.876389+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:00:49.474441+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:06:01.150954+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:11:25.349904+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:16:26.596122+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:21:41.212871+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:26:29.170784+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:31:08.394791+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:42:15.321453+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:47:13.441708+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:52:33.034559+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:57:56.724861+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:03:20.687395+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:03:55.579226+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:04:31.174442+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:05:06.706099+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:05:42.851906+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:06:18.609853+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:06:56.853599+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:07:32.700946+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:08:08.849521+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:08:44.757672+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:09:20.964683+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:09:56.410169+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:10:37.439918+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:11:14.807596+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:11:50.808345+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:12:50.024170+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:13:26.678679+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:14:01.672526+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:15:07.601369+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:15:44.301607+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:16:19.885685+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:17:23.868846+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:18:01.183701+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:18:36.207500+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:19:40.384347+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:20:14.992221+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:20:51.014558+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:21:45.178875+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:22:21.070894+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:22:56.482215+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:23:33.546541+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:24:08.113209+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:24:43.069846+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:25:18.921034+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:25:53.618896+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:26:29.354655+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:27:04.146735+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:27:39.388492+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:28:14.111033+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:28:49.649000+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:29:25.617167+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:30:00.534328+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:31:06.179448+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:31:41.926164+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:32:42.405572+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:33:22.305678+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:33:57.430728+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:34:59.384588+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:35:34.651842+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:36:09.849253+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:37:12.613825+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:37:47.679184+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:38:22.531066+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:39:20.620620+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:39:56.036687+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:40:31.314295+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:41:32.163037+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:42:08.601463+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:42:44.159962+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:43:19.429138+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:43:54.362333+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:44:29.577196+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:45:05.134878+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:45:40.679025+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:46:15.947544+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:46:52.037901+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:47:29.052894+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:48:05.105827+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:48:40.463151+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:49:16.169193+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:49:51.125817+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:50:39.645094+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:51:16.150233+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:51:51.586931+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:52:48.593893+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:53:24.267183+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:53:59.131357+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:54:59.056419+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:55:33.929448+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:56:08.916760+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:57:04.937518+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:57:40.965810+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:58:15.834396+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:59:14.398372+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:59:51.367693+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:00:30.263104+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:01:33.552655+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:02:22.397753+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:03:12.368622+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:03:49.525652+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:04:24.774795+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:05:00.785155+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:05:37.940767+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:06:13.612523+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:06:49.155894+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:07:24.135674+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:07:59.033827+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:08:34.171580+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:09:10.479032+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:09:46.018429+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:10:34.012786+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:11:11.110736+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:11:46.447382+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:12:38.631325+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:13:16.438629+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:13:52.257783+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:14:42.953370+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:15:18.614735+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:15:54.443228+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:16:48.256356+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:17:23.371368+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:17:59.077077+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:18:56.768048+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:19:33.259601+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:20:09.152677+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:21:04.422118+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:21:41.187616+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:22:16.640399+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:22:51.807119+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:23:26.664972+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:24:01.777861+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:24:36.419801+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:25:11.795809+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:25:48.077713+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:26:24.848264+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:27:01.330859+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:27:37.094612+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:28:13.227774+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:28:48.908286+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:29:24.694373+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:30:00.746739+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:31:05.571328+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:31:41.839807+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:32:42.756519+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:33:19.239074+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:33:55.341421+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:34:56.452114+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:35:31.203606+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:36:06.361832+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:37:02.569272+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:37:38.187270+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:38:13.470666+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:39:01.328366+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:39:36.266545+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:40:11.224664+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:41:05.822749+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:41:41.170013+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:42:16.413097+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:42:51.948310+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:43:27.615890+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:44:02.685671+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:44:38.518450+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:45:13.768007+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:45:49.181993+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:46:24.221299+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:46:59.283215+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:47:33.965591+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:48:09.310838+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:48:44.177880+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:49:32.072392+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:50:08.557905+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
