2026-04-19T00:00:32.534191+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:17:30.345710+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:18:06.439208+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:18:56.462252+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:19:37.246384+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:20:14.189151+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:20:50.142067+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:21:26.489806+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:22:05.372564+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:22:42.274338+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:23:17.557861+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:23:53.546315+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:24:30.072150+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:25:06.623130+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:25:42.821520+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:26:19.691546+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:26:56.814103+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:27:55.897691+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:28:32.363100+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:30:17.123346+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:30:53.653291+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:31:40.959177+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:32:24.310026+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:33:01.243547+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:33:48.967125+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:34:33.973004+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:35:10.129989+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:35:50.119134+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:36:35.426645+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:37:12.328948+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:38:00.000656+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:38:49.404151+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:39:26.029611+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:40:01.061636+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:40:37.301527+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:41:13.482035+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:41:49.992547+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:42:25.852320+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:43:01.870313+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:43:38.830134+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:44:14.600695+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:44:50.677523+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:45:27.972112+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:47:14.200814+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:47:50.261003+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:48:34.394696+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:49:19.912229+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:49:56.720386+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:50:46.142520+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:51:29.380314+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:52:05.617223+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:52:55.573842+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:53:36.600052+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:54:12.913286+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:55:00.615407+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:55:42.711861+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:56:19.098531+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:57:02.616809+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:57:47.672122+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:58:23.550440+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:58:59.619066+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:59:36.169335+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:00:14.473835+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:00:56.686182+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:01:36.030822+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:02:11.321274+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:02:48.001517+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:03:24.786906+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:04:01.603769+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:04:39.704257+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:05:35.514765+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:10:45.018236+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:15:33.770006+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:21:02.433069+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:26:39.542788+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:32:33.722644+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:37:59.672585+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:42:57.256106+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:48:33.476076+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:54:07.341362+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T01:59:05.591816+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:04:17.480812+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:09:26.674703+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:14:41.735983+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:19:57.731174+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:24:46.121248+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:29:35.128120+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:34:32.629434+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:40:20.940912+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:45:30.505329+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:50:31.004322+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T02:56:23.785322+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:02:17.391908+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:03:53.722741+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:04:29.370410+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:05:04.255353+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:05:40.229553+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:06:16.745769+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:06:53.676055+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:07:30.449850+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:08:06.968265+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:08:42.341229+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:09:18.401488+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:09:54.199375+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:10:34.368288+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:11:12.622465+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:11:48.243810+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:12:38.686064+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:13:24.797976+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:14:00.081224+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:15:41.942145+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:16:18.036859+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:17:59.025885+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:18:34.501468+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:20:13.430325+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:20:48.802499+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:21:36.466306+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:22:18.780896+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:22:54.352951+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:23:31.088582+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:24:06.374074+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:24:41.359083+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:25:16.642120+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:25:51.687406+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:26:26.805269+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:27:02.542901+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:27:37.176119+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:28:12.309157+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:28:47.631197+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:29:23.264528+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:29:58.798670+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:31:03.984903+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:31:40.068932+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:33:20.545319+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:33:55.405727+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:35:32.546175+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:36:07.777290+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:37:45.902088+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:38:20.398074+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:39:54.157787+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:40:29.287555+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:42:06.777618+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:42:41.947625+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:43:17.301628+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:43:52.714511+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:44:27.427408+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:45:02.838708+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:45:38.515495+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:46:13.681183+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:46:50.025078+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:47:26.819793+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:48:02.765301+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:48:38.287831+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:49:14.172862+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:49:49.194509+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:50:32.365643+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:51:13.769594+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:51:49.351133+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:52:39.515713+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:53:22.573196+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:53:57.395323+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:55:32.189705+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:56:07.280946+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:57:01.233123+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:57:39.370553+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:58:14.010933+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T03:59:49.161453+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:00:26.732963+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:01:14.314905+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:02:19.664579+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:03:09.321889+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:03:47.026762+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:04:22.495944+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:04:58.411080+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:05:34.588453+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:06:11.495582+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:06:46.910137+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:07:22.121847+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:07:57.409700+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:08:32.023361+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:09:08.024471+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:09:43.691258+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:10:29.816613+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:11:09.514168+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:11:44.204410+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:12:31.243405+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:13:14.044122+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:13:49.951758+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:14:38.802155+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:15:16.915061+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:15:51.887552+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:16:42.131921+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:17:21.605654+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:17:56.741033+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:18:51.879358+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:19:30.797709+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:20:06.225767+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:20:54.614249+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:21:38.769719+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:22:14.958886+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:22:50.086898+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:23:24.820178+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:24:00.010698+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:24:34.761146+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:25:09.455803+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:25:46.235826+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:26:22.712699+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:26:57.996291+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:27:34.906270+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:28:11.423267+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:28:46.626792+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:29:22.424389+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:29:58.565200+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:31:03.180517+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:31:39.939043+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:32:33.364908+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:33:17.426164+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:33:53.065045+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:34:48.622035+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:35:29.228143+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:36:04.397672+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:36:58.151873+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:37:35.842652+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:38:11.153475+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:38:55.496330+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:39:34.743937+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:40:08.931247+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:40:59.334350+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:41:39.585224+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:42:14.245371+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:42:50.065827+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:43:25.253272+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:44:00.206757+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:44:36.784359+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:45:11.505631+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:45:46.595686+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:46:22.565594+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:46:57.430311+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:47:32.126565+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:48:06.863514+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:48:42.560600+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:49:27.541305+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:50:06.028790+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:50:44.114367+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:52:32.953572+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:53:08.774692+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:53:43.971054+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:54:21.735752+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:54:58.049527+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:55:33.188604+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:56:23.923913+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:57:07.274327+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:57:42.231890+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T04:58:21.719414+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
