2026-04-11T15:29:39.857984+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:59:15.848431+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T20:00:17.041743+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-11T20:00:51.240995+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-11T20:01:52.439636+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-11T20:02:28.297219+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-11T20:03:29.954748+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-11T20:04:04.679163+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:04:39.246279+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:05:14.224493+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:05:48.800771+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:06:23.118144+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:06:57.832516+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:07:34.093687+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:08:08.738004+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:08:43.579253+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:09:18.195184+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:09:53.018988+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:10:27.423496+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:31:01.706907+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:32:01.073084+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:32:35.711736+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:33:36.220871+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:34:11.089151+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:34:45.323337+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:35:23.101113+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:35:57.711259+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:36:57.666106+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:37:32.376302+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:38:06.999770+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:38:41.743173+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:39:16.627250+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:39:51.165291+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:40:26.617649+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:41:01.455246+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:41:35.928699+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:42:11.331807+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:42:46.141936+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:43:20.918506+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:43:55.742728+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:44:31.471085+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:45:06.349194+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:45:41.461614+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:46:21.630012+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:46:56.295038+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:47:57.864603+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:48:32.858838+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:49:08.183903+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:49:51.986897+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:50:27.131288+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:51:25.006352+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:52:00.649290+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:52:35.137687+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:53:09.735061+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:53:44.475566+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:54:19.397212+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:54:53.712507+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:55:28.726100+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:56:03.225331+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:56:38.004735+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:57:15.119594+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:57:50.084702+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:58:24.765585+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:58:59.688241+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:59:34.006512+00:00 | Yukon | Justin Bieber | source:amperwave-api
