2026-04-17T00:00:01.811179+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:43:41.363120+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:44:21.157675+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:45:01.615902+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:45:41.307782+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:46:20.168528+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:46:58.789031+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:47:38.513688+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:48:16.632315+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:48:55.282854+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:49:34.109590+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:50:14.974300+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:50:52.767866+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:51:33.746049+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:52:14.772332+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:52:56.383777+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:53:36.482743+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:55:01.503275+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:55:41.390004+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:56:22.112481+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:57:03.754836+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:57:44.833121+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:58:24.802493+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:59:05.413231+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T01:59:45.868038+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:00:27.959897+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:01:08.346280+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:01:48.713756+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:02:28.526922+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:03:08.276251+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:03:46.808324+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:04:27.405561+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:05:05.672000+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:06:21.380676+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:07:02.941150+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:07:41.458610+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:08:23.270632+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:09:03.065578+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:10:19.111095+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:10:59.561328+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:11:37.356979+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:12:16.348847+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:12:55.221679+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:14:23.168870+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:15:08.034136+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:15:46.728448+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:16:28.749336+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:17:10.130553+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:18:32.729714+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:19:11.850685+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:19:50.800389+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:20:30.853015+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:21:11.604446+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:22:37.954031+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:23:16.829316+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:23:55.018761+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:24:35.503470+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:25:15.653990+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:25:56.209943+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:26:42.859316+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:27:21.249721+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:27:59.336947+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:28:40.461725+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:29:19.414583+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:30:00.237197+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:30:40.805569+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:31:20.564758+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:34:43.995617+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:39:34.883348+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:44:17.615338+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:49:27.406120+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T02:55:15.820033+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:00:35.812827+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:05:48.874030+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:11:01.799172+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:15:55.327487+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:21:29.139741+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:26:34.323138+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:32:47.070702+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:38:08.596613+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:43:40.821005+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:48:33.688680+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:53:35.067564+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T03:58:56.835874+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T04:03:58.624576+00:00 | Tokyo Drifting | One Or Eight | source:amperwave-api
2026-04-17T04:09:23.508229+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T04:14:39.402084+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-17T04:20:02.525934+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-17T04:25:46.198735+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:30:07.281917+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T04:30:52.024819+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:31:32.560790+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:32:15.761011+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:32:55.714076+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:33:35.665081+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:34:15.753728+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:34:54.841403+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:35:36.467676+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:36:15.997440+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:36:55.729998+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:37:32.977089+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:39:04.599264+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:39:43.330192+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:40:25.421536+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:41:05.140473+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:41:43.235441+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:42:21.508508+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:43:00.458927+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:43:37.823277+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:44:14.756899+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:44:52.853666+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:46:35.897264+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:47:13.941015+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:47:50.518866+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:48:28.492542+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:49:05.777310+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:49:48.670126+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:51:13.923237+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:51:52.971302+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:52:32.178349+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:53:12.411865+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:53:50.173461+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:54:28.149364+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T04:55:49.431616+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T04:56:28.773669+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T04:57:08.326059+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T04:57:46.347739+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T04:58:23.791108+00:00 | Work | Rihanna Ft Drake | source:amperwave-api
2026-04-17T04:59:53.288104+00:00 | Work | Rihanna Ft Drake | source:amperwave-api
2026-04-17T05:00:32.053210+00:00 | Work | Rihanna Ft Drake | source:amperwave-api
2026-04-17T05:01:11.648845+00:00 | Work | Rihanna Ft Drake | source:amperwave-api
2026-04-17T05:01:50.424649+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T05:02:31.602622+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T05:04:05.675170+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T05:04:44.290135+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:05:24.636835+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:06:08.389602+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:06:47.185728+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:07:28.521812+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:08:06.886381+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:08:48.592602+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:09:27.806143+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:10:09.566623+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:10:48.831734+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:11:32.425541+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:12:12.438049+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:12:59.314414+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:13:38.573434+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:14:19.808182+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:15:01.184525+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:15:41.329266+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:16:22.785355+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:18:40.302117+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:19:19.113471+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:19:59.321289+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:20:43.357307+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:21:24.105497+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-17T05:22:10.739571+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-17T05:22:51.956245+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-17T05:23:31.782448+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-17T05:24:14.680384+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:24:56.788359+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:25:38.170728+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:26:24.375540+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:27:07.051350+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:27:47.484433+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:28:26.520309+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:29:07.860589+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:29:49.840474+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:30:33.806725+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:31:54.580967+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:32:35.613926+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:33:23.891251+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:34:04.846584+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:34:46.834461+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:36:07.409275+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:36:46.837065+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:37:25.864233+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:38:06.804414+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:38:48.624124+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:40:27.129841+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:41:08.729769+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:41:48.091856+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:42:30.424592+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:43:48.520531+00:00 | Man I Need | Olivia Dean | source:amperwave-api
