2026-04-17T00:00:37.520429+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:19:41.011559+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:20:22.808799+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:21:02.601827+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:21:44.871108+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:22:25.109111+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:23:05.452907+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:23:43.414355+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:24:23.045315+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:25:04.862522+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:25:45.249478+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:26:25.808057+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:28:40.907857+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:29:22.304493+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:30:01.965380+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:30:46.505524+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:31:28.001629+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:32:11.327959+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:32:52.782451+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:33:34.278084+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:34:14.874705+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:34:56.003188+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:35:35.512597+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:36:14.028701+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:36:56.859640+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:37:35.053190+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:38:16.578548+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:39:30.861025+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:40:27.542141+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:41:09.629521+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:41:48.576445+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:42:28.228076+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:45:01.932984+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:45:45.785526+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:46:27.130923+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:47:05.891882+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:47:46.023674+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:50:02.254664+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:50:43.076741+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:51:22.850618+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:52:01.926512+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:52:40.945797+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:53:23.530935+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:54:56.853685+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:55:36.948555+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:56:16.647650+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:56:56.965043+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:57:35.716649+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:58:49.430629+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T00:59:41.955140+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:00:22.817033+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:01:02.436425+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:01:42.245739+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:02:26.903109+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:03:06.452398+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:03:47.229654+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:04:26.612970+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:05:06.640867+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:05:46.998482+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:06:31.763141+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:07:11.397482+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:07:52.242580+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:08:32.464276+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:09:12.757798+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:09:52.280108+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:10:33.374166+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:11:12.941870+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:11:54.453525+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:12:33.507335+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:14:36.838206+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:15:16.993389+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:15:59.270857+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:16:40.161030+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:17:18.741173+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:17:57.221068+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:18:36.123883+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:19:15.647383+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:19:55.307487+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:20:35.157202+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:21:16.131095+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:21:55.495361+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:24:21.543151+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:25:03.137600+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:25:43.886158+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:26:26.089204+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:28:33.545668+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:29:13.787147+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:29:52.417795+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:30:33.036684+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:31:43.602207+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:32:34.929529+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:33:13.269496+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:33:52.435317+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:34:32.711062+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:35:47.676985+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:36:43.817386+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:37:21.678424+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:38:02.617395+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:38:43.069786+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:40:55.741324+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:41:36.939635+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:42:15.970398+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:42:55.481056+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:43:37.493327+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:44:17.094219+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:44:57.064725+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:45:38.621549+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:46:17.009407+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:46:55.990555+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:47:35.378802+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:48:13.249669+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:48:52.174270+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:49:30.423764+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:50:10.099792+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:50:50.410830+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:51:29.941240+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:52:11.321651+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:52:52.821454+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:53:32.454397+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:54:50.553692+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:55:36.549662+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:56:18.378160+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:56:59.797838+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:57:41.321424+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:58:21.215132+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:59:00.992247+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T01:59:40.453202+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:00:23.358515+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:01:03.537436+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:01:45.153102+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:02:24.305815+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:03:04.744233+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:03:43.896432+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:04:23.553671+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:05:02.801499+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:06:05.803551+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:06:59.714957+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:07:37.493845+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:08:17.724929+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:09:00.292872+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:10:06.176035+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:10:55.589935+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:11:34.385689+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:12:12.379585+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:12:52.175755+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:13:30.626590+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:15:04.388515+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:15:43.692552+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:16:23.289778+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:17:05.828788+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:18:23.530829+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:19:07.875968+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:19:47.121284+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:20:27.074681+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:21:06.684003+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:23:13.834638+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:23:51.573308+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:24:31.472852+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:25:11.127117+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:25:52.682468+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:26:38.764922+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:27:18.402086+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:27:55.978844+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:28:35.980845+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:29:15.442073+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:29:54.744338+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:30:37.758561+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:31:16.956201+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:32:59.359232+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:38:11.173544+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:42:32.768745+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:47:43.252602+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:53:05.912578+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T02:58:31.566607+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:04:04.084904+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:09:26.737963+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:14:10.096315+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:19:43.241354+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:24:47.355486+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:30:34.313634+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:36:22.976641+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:41:36.619767+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:46:57.904418+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:51:50.164802+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T03:57:11.164553+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:02:13.803496+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:07:39.119267+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:13:03.129431+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:18:17.683263+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:23:42.170353+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:29:02.638533+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:30:47.526001+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:31:27.775367+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:32:10.523577+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:32:52.710909+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:33:31.063857+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:34:12.231318+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:34:50.895587+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:35:32.805396+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:36:11.975431+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:36:52.263533+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:37:30.430093+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:38:45.398505+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:39:40.123263+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:40:21.417408+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:41:00.740117+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:41:40.178659+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:42:18.318955+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:42:56.591418+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:43:34.987421+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:44:12.182115+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:44:50.480674+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:46:04.765874+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:47:11.025725+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:47:48.233998+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:48:25.588759+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:49:02.823342+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:49:44.427082+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:51:48.961951+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:52:27.974935+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:53:07.616105+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:53:47.923186+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:54:25.608484+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:55:30.659935+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:56:25.833264+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:57:05.254664+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:57:44.047837+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:58:20.548840+00:00 | Kashmir | Led Zeppelin | source:amperwave-api
2026-04-17T04:59:38.195475+00:00 | One Step Closer | Linkin Park | source:amperwave-api
2026-04-17T05:00:28.558497+00:00 | One Step Closer | Linkin Park | source:amperwave-api
2026-04-17T05:01:06.833054+00:00 | One Step Closer | Linkin Park | source:amperwave-api
2026-04-17T05:01:47.035733+00:00 | One Step Closer | Linkin Park | source:amperwave-api
2026-04-17T05:02:26.528604+00:00 | Dammit | Blink-182 | source:amperwave-api
2026-04-17T05:03:46.251164+00:00 | Dammit | Blink-182 | source:amperwave-api
2026-04-17T05:04:41.730780+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-17T05:05:20.697355+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-17T05:06:04.609677+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-17T05:06:43.996699+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-17T05:07:25.633034+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:08:03.225042+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:08:44.166625+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:09:23.981316+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:10:04.169498+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:10:45.389178+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:11:26.234069+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:12:08.257559+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-17T05:12:52.267611+00:00 | Getting Away With Murder | Papa Roach | source:amperwave-api
2026-04-17T05:13:34.317770+00:00 | Getting Away With Murder | Papa Roach | source:amperwave-api
2026-04-17T05:14:15.657034+00:00 | Getting Away With Murder | Papa Roach | source:amperwave-api
2026-04-17T05:14:55.798607+00:00 | Getting Away With Murder | Papa Roach | source:amperwave-api
2026-04-17T05:15:36.711127+00:00 | Getting Away With Murder | Papa Roach | source:amperwave-api
2026-04-17T05:16:18.323182+00:00 | Vasoline | Stone Temple Pilots | source:amperwave-api
2026-04-17T05:16:58.961997+00:00 | Vasoline | Stone Temple Pilots | source:amperwave-api
2026-04-17T05:18:35.697586+00:00 | Vasoline | Stone Temple Pilots | source:amperwave-api
2026-04-17T05:19:15.478698+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:19:54.557669+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:20:38.778174+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:21:20.229413+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:22:03.893574+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:22:48.776728+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-17T05:23:26.816016+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:24:09.441042+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:24:51.564668+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:25:33.145993+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:26:17.722874+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:27:02.532266+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:27:43.460804+00:00 | Mary Janes Last Dance | Tom Petty And The Heartbreakers | source:amperwave-api
2026-04-17T05:28:22.466238+00:00 | Stones | Everlast | source:amperwave-api
2026-04-17T05:29:03.701136+00:00 | Stones | Everlast | source:amperwave-api
2026-04-17T05:29:44.489108+00:00 | Stones | Everlast | source:amperwave-api
2026-04-17T05:30:28.327638+00:00 | Stones | Everlast | source:amperwave-api
2026-04-17T05:31:41.389874+00:00 | Got The Life | Korn | source:amperwave-api
2026-04-17T05:32:32.435790+00:00 | Got The Life | Korn | source:amperwave-api
2026-04-17T05:33:14.920570+00:00 | Got The Life | Korn | source:amperwave-api
2026-04-17T05:34:01.001589+00:00 | Got The Life | Korn | source:amperwave-api
2026-04-17T05:34:41.517301+00:00 | Got The Life | Korn | source:amperwave-api
2026-04-17T05:36:00.920611+00:00 | Who Will You Follow | Evanescence | source:amperwave-api
2026-04-17T05:36:42.932413+00:00 | Who Will You Follow | Evanescence | source:amperwave-api
2026-04-17T05:37:23.421994+00:00 | Who Will You Follow | Evanescence | source:amperwave-api
2026-04-17T05:38:02.837211+00:00 | Who Will You Follow | Evanescence | source:amperwave-api
2026-04-17T05:38:43.549394+00:00 | Who Will You Follow | Evanescence | source:amperwave-api
2026-04-17T05:41:04.330346+00:00 | Stairway To Heaven | Led Zeppelin | source:amperwave-api
2026-04-17T05:41:44.847086+00:00 | Stairway To Heaven | Led Zeppelin | source:amperwave-api
2026-04-17T05:42:24.655131+00:00 | Stairway To Heaven | Led Zeppelin | source:amperwave-api
2026-04-17T05:43:07.284991+00:00 | Stairway To Heaven | Led Zeppelin | source:amperwave-api
2026-04-17T05:44:39.476712+00:00 | Stairway To Heaven | Led Zeppelin | source:amperwave-api
