2026-04-11T15:29:37.189558+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:09:15.375615+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:09:50.748374+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:10:25.137211+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:10:59.524381+00:00 | Poker Face | Lady Gaga | source:amperwave-api
2026-04-11T20:30:59.541854+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:31:56.401941+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:32:33.283389+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:33:31.145965+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:34:08.407643+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:34:42.941689+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:35:17.500890+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:35:54.847597+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:36:54.354309+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:37:29.788925+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:38:04.556318+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:38:39.127323+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:39:14.208679+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:39:48.871914+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:40:23.535940+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:40:58.801746+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:41:33.376633+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:42:08.241008+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:42:43.664602+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:43:18.425305+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:43:53.043833+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:44:28.615751+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:45:04.142052+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:45:38.573726+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:46:15.196159+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:46:53.973049+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:47:54.188004+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-11T20:48:30.256321+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:49:05.437215+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:49:45.943866+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:50:24.447285+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:51:21.760561+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:51:57.708307+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:52:32.801625+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:53:07.439038+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:53:42.158569+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:54:16.990531+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:54:51.422744+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-11T20:55:25.761631+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:56:00.927091+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:56:35.006307+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:57:10.510932+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:57:47.519767+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:58:22.310584+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-11T20:58:56.981370+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T20:59:31.809260+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
