2026-04-19T14:41:43.478319+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:34:06.359192+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:34:45.928934+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:35:30.455971+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:36:11.480252+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:36:53.401678+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:37:55.629699+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:38:40.801999+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:39:25.954167+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:40:05.822630+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:41:15.192673+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:41:56.243434+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:42:36.818207+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:43:18.371105+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:44:03.544004+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:44:44.576875+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:45:24.631835+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:46:06.079604+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:46:46.009178+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:47:26.702966+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:48:07.396747+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:48:48.513923+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:49:39.693778+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:50:19.744970+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:51:01.609930+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:51:42.982944+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:52:28.465848+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:53:34.309316+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:54:15.789028+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:54:56.537109+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:55:50.751039+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:56:30.286109+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:57:11.730528+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:57:55.455892+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:58:36.290156+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T15:59:43.191866+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:00:24.349481+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:01:09.010322+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:01:50.167921+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:02:30.029918+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:03:11.736646+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:03:52.118034+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:04:33.824357+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:05:15.711256+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:05:57.288513+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:06:38.998965+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:07:20.337665+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:08:03.093721+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:09:03.777742+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:09:46.394766+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:10:42.706737+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:11:23.969452+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:12:36.785071+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:13:19.648286+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:14:26.231496+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:15:17.947777+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:16:28.490852+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:17:10.156428+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:18:10.244853+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:18:54.690806+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:19:34.790920+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:20:23.546370+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:21:06.241285+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:21:49.298876+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:22:30.428753+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:23:11.522254+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:23:55.858099+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:24:43.636042+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:25:35.287310+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:26:39.478126+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:27:20.316316+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:28:01.034041+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:28:47.478049+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:29:36.025670+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:30:45.544578+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:31:27.269391+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:32:13.075109+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:32:57.127502+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:33:40.497987+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:34:50.414319+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:35:31.520233+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:36:11.192174+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:36:59.126423+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:37:45.153724+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:38:27.300318+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:39:08.392911+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:40:03.755273+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:40:44.896605+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:41:25.937005+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:42:07.574265+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:42:48.124402+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:43:29.437891+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:44:08.874091+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:44:50.311062+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:45:43.682018+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:46:24.305955+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:47:06.389853+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:47:54.799268+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:48:35.895935+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:49:23.217011+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:50:12.494365+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:50:52.427558+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:52:09.158708+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:52:54.689736+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:53:36.162542+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:54:23.030697+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:55:03.162082+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:55:45.181591+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:56:46.078510+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:57:26.057801+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:58:06.485921+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:58:46.758954+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T16:59:28.280320+00:00 | Dub | Sunday Night Slow Jams With R | source:securenet-history
2026-04-19T17:00:08.637589+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:00:50.388316+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:01:31.517569+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:02:13.976721+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:03:00.020715+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:03:41.154570+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:04:42.820225+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:05:28.556200+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:06:44.176890+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:07:25.409968+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:08:06.623489+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:08:57.904360+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:09:37.366642+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:10:18.728554+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:11:04.769647+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:11:50.953455+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:12:57.471938+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:13:41.258031+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:14:24.289705+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:15:14.766842+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:15:55.006734+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:16:35.860322+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:17:16.734757+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:18:02.793926+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:18:44.710606+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:19:26.490175+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:20:07.407745+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:20:47.857307+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:21:29.234451+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:22:09.444962+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:22:49.841975+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:23:41.257237+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:24:28.094076+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:25:09.431718+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:26:10.773124+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:26:51.268782+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:27:54.065781+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:28:34.569070+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:29:16.022593+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:29:59.231597+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:30:41.212723+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:31:47.688405+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:32:28.572083+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:33:10.282703+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:33:55.190781+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:34:39.020356+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:35:18.624225+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:36:04.737985+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:36:46.246115+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:37:28.308157+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:38:08.560920+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:38:48.590481+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:39:29.652143+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:40:12.446352+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:40:53.594510+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:41:38.705149+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:42:39.893262+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:43:19.204461+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:44:28.907408+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:45:09.487032+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:45:48.377814+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:46:43.434527+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:47:22.600402+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:48:03.592455+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:48:54.360722+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:49:40.713957+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:50:47.794094+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:51:28.406391+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:52:49.406921+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:53:29.924470+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:54:09.363327+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:54:53.088010+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:55:34.230693+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:56:15.290879+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:56:56.463916+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:57:37.176299+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:58:17.550639+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:58:58.983199+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T17:59:39.516938+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:00:20.837778+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:01:02.398335+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:02:04.813312+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:02:44.596440+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:03:43.260141+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:04:22.703227+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:05:03.834184+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:05:58.103604+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:06:39.160849+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:07:47.429584+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:08:30.185704+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:09:11.087873+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:09:56.893332+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:10:43.576606+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:11:51.745408+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:12:33.088820+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:13:13.543855+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:13:53.470611+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:14:39.049703+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:15:20.295173+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:16:02.662003+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:16:43.338210+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:17:24.423059+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:18:11.479352+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:18:52.814720+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:19:39.256210+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:20:45.868592+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:21:32.370925+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:22:43.550086+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:23:24.682511+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:24:04.638261+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:24:56.723241+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:25:36.660011+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:26:18.522765+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:27:01.652958+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:27:42.857189+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:28:53.424655+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:29:37.698760+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:30:50.707108+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:31:37.643814+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:32:19.179320+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:33:10.451933+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:33:52.598869+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:34:44.315365+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:35:27.147565+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:36:06.760548+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:36:47.208842+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:37:38.023309+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:38:27.771094+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:39:39.376333+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:40:26.947696+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:41:37.479600+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:42:24.887879+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:43:26.795541+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:44:14.361961+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:44:56.177551+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:45:51.869035+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:46:37.843368+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:47:53.351590+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:48:35.740239+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:49:15.285140+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:50:00.783706+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:50:41.856470+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:51:32.076804+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:52:18.288069+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:53:01.917362+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:53:43.981267+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:54:26.184248+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:55:07.305948+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:55:49.531751+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:56:35.008867+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:57:22.253818+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:58:38.805728+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T18:59:19.949140+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T19:00:26.872980+00:00 | Presented | Power 101.7 | source:securenet-history
2026-04-19T19:01:11.096718+00:00 | Presented | Power 101.7 | source:securenet-history
