2026-04-14T00:04:56.087077+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T00:49:05.556621+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:50:02.344348+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:50:37.105860+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:51:34.660362+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-14T00:52:09.563474+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-14T00:52:45.117053+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-14T00:53:20.274602+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-14T00:53:55.997051+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-14T00:54:31.087419+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:55:06.601630+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:55:43.402587+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:56:18.331310+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:56:53.218675+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:57:29.607931+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-14T00:58:29.800794+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-14T00:59:05.110493+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-14T00:59:44.124215+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-14T01:00:38.616989+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-14T01:01:13.928493+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T01:01:50.815256+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T01:02:27.051369+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T01:03:31.614945+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T01:04:07.915406+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-14T01:05:06.417213+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-14T01:05:42.907073+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-14T01:06:41.451470+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-14T01:07:19.752933+00:00 | Kiss Me More | Doja Cat / Sza | source:amperwave-api
2026-04-14T01:08:01.899275+00:00 | Kiss Me More | Doja Cat / Sza | source:amperwave-api
2026-04-14T01:09:11.186068+00:00 | Kiss Me More | Doja Cat / Sza | source:amperwave-api
2026-04-14T01:09:47.437727+00:00 | Kiss Me More | Doja Cat / Sza | source:amperwave-api
2026-04-14T01:10:23.522672+00:00 | Kiss Me More | Doja Cat / Sza | source:amperwave-api
2026-04-14T01:10:59.742848+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:11:34.482416+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:12:09.703429+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:12:44.908676+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:13:19.828749+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:13:55.480698+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T01:14:32.414368+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-14T01:15:07.187123+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-14T01:16:06.793049+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-14T01:16:43.715671+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-14T01:17:43.501829+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-14T01:18:18.589651+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-14T01:19:16.860184+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-14T01:19:51.511291+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-14T01:20:51.132763+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:21:26.639429+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:22:23.205074+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:22:58.612972+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:23:33.946105+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:24:08.587907+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:24:43.649706+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-14T01:25:19.418196+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T01:25:56.487480+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T01:26:32.186861+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T01:27:07.475408+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T01:27:42.256112+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-14T01:28:17.076962+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-14T01:28:54.072672+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-14T01:29:29.077819+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-14T01:30:03.557893+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-14T01:30:38.683699+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-14T01:31:13.324586+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-14T01:31:47.901222+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-14T01:32:49.978134+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-14T01:33:24.657044+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-14T01:34:23.069823+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-14T01:34:57.717250+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-14T01:35:33.866812+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-14T01:36:08.734204+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-14T01:36:43.985843+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-14T01:37:44.577053+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-14T01:38:19.148653+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T01:38:53.615252+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T01:39:28.243767+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T01:40:02.760066+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T01:40:37.205247+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T01:41:11.821141+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:41:47.060130+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:42:21.767485+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:42:56.094164+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:43:31.382454+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:44:07.208107+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:44:41.565843+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:45:29.217764+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:46:03.211378+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:46:37.764373+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:47:12.529081+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-14T01:47:47.338240+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T01:48:40.394678+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T01:49:15.318049+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T01:50:15.523859+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T01:50:49.877313+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T01:51:47.220211+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T01:52:21.874015+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T01:52:56.405656+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T01:53:31.704257+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T01:54:06.247201+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:54:41.610755+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:55:17.118423+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:55:52.219596+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:56:27.044341+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:57:02.258743+00:00 | Dj Got Us Fallin In Love | Usher / Pitbull | source:amperwave-api
2026-04-14T01:57:37.459016+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T01:58:12.118748+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T01:58:47.481896+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T01:59:23.776559+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T01:59:59.233378+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T02:00:35.750336+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T02:01:11.741940+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-14T02:02:06.354545+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T02:02:42.206803+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T02:03:41.048262+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T02:04:20.375896+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T02:05:18.603291+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-14T02:05:57.652597+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-14T02:07:00.194650+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-14T02:07:36.880678+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-14T02:08:29.053161+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:09:03.728948+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:09:39.144287+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:10:14.697099+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:10:49.613922+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:11:23.754971+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-14T02:11:58.865819+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:12:33.746946+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:13:08.897336+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:13:43.567897+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:14:18.114124+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:14:53.138847+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-14T02:15:29.796610+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-14T02:16:04.670011+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-14T02:16:58.649674+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-14T02:17:33.493643+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-14T02:18:08.741050+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:18:44.013187+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:19:18.837615+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:20:13.163086+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:20:48.114467+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:21:41.881837+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-14T02:22:18.366442+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:23:12.369097+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:23:50.484690+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:24:25.186799+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:25:00.337021+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:25:35.020064+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-14T02:26:09.333595+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T02:26:44.265945+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T02:27:20.440195+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T02:27:55.328380+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T02:28:30.147566+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-14T02:29:05.273670+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-14T02:29:42.567315+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-14T02:30:29.820102+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-14T02:31:11.154191+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-14T02:32:01.345191+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-14T02:32:35.846936+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-14T02:33:35.278297+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-14T02:34:09.953065+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-14T02:35:11.244070+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-14T02:35:46.071566+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-14T02:36:42.710421+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-14T02:37:17.781958+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-14T02:38:15.210146+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:38:50.347827+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:39:25.389296+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:40:00.097878+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:40:34.539274+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:41:09.539732+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-14T02:41:52.638574+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:42:38.324373+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:43:13.463329+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:43:48.859569+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:44:23.794145+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:45:01.282120+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-14T02:45:36.991224+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:46:12.034111+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:47:02.644428+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:47:37.922363+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:48:34.935461+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:49:11.063630+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:49:46.506094+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:50:21.230170+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:50:55.899910+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:51:45.195342+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-14T02:52:20.078546+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-14T02:53:17.864947+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-14T02:53:52.810198+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-14T02:54:27.706226+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-14T02:55:03.134698+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:55:38.528758+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:56:13.935553+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:56:49.516371+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:57:26.015642+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:58:01.214592+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-14T02:58:36.701448+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-14T02:59:11.869984+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-14T02:59:47.365737+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-14T03:00:31.906886+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-14T03:01:07.501199+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T03:02:04.687754+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T03:02:39.801413+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-14T03:03:35.358473+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:04:11.902810+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:04:46.734967+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:05:22.738514+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:05:58.499664+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:06:56.988710+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-14T03:07:32.195758+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T03:08:25.528885+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T03:09:01.663346+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T03:09:36.975392+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T03:10:14.032773+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T03:10:49.715102+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-14T03:11:24.570333+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-14T03:11:59.551753+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-14T03:12:34.987541+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-14T03:13:10.310394+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-14T03:13:46.858360+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T03:14:22.241316+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T03:14:56.951896+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T03:15:34.065257+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T03:16:08.783376+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T03:16:59.975876+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:17:35.670498+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:18:33.281701+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:19:08.744042+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:19:44.353940+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:20:21.977725+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-14T03:20:58.009220+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T03:21:45.699465+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T03:22:21.066782+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T03:23:20.868892+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T03:23:55.684956+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T03:24:30.242748+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T03:25:05.902513+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T03:25:42.307477+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T03:26:17.994128+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-14T03:26:52.828845+00:00 | American Girls | Harry Styles | source:amperwave-api
