2026-04-17T00:00:04.195055+00:00 | Good Luck, Babe! | Chappell Roan | source:amperwave-api
2026-04-17T03:23:03.086730+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-17T03:28:40.213905+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T03:34:10.266730+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T03:39:42.591839+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-17T03:45:03.973853+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-17T03:49:56.886020+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T03:54:58.152934+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-17T04:00:20.349375+00:00 | Fire Burning | Sean Kingston | source:amperwave-api
2026-04-17T04:05:21.795203+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T04:10:47.207106+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-17T04:16:04.851225+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-17T04:21:48.543643+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:27:09.053625+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T04:30:11.089363+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-17T04:30:54.349029+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-17T04:31:36.799965+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-17T04:32:19.837638+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:32:58.193454+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:33:38.570505+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:34:18.297761+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:34:59.077570+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T04:35:38.631753+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T04:36:18.654529+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T04:36:58.180605+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T04:37:35.117104+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T04:39:07.183348+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T04:39:46.400322+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T04:40:28.434674+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T04:41:07.359061+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T04:41:45.440982+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:42:23.708030+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:43:02.515429+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:43:39.984156+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:44:18.092320+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:44:55.605979+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-17T04:46:38.252958+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T04:47:16.221261+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T04:47:52.920695+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T04:48:30.856626+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T04:49:09.026576+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T04:49:51.408977+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T04:51:16.624187+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T04:51:55.037213+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T04:52:34.265356+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-17T04:53:15.941990+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-17T04:53:52.457233+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-17T04:54:31.856854+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-17T04:55:52.806352+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-17T04:56:31.489874+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-17T04:57:11.421471+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-17T04:57:48.295923+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-17T04:58:26.696989+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-17T04:59:55.873215+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-17T05:00:34.526158+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-17T05:01:13.786302+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-17T05:01:53.173065+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:02:35.104177+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:04:08.941204+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:04:46.377368+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:05:27.892711+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:06:11.210192+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:06:52.730800+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:07:30.846282+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:08:10.327129+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:08:51.726860+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:09:30.861404+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:10:12.917219+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:10:52.698352+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:11:35.601135+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:12:18.134108+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T05:13:01.757653+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T05:13:41.802662+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T05:14:22.470048+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T05:15:04.403449+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T05:15:45.115398+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-17T05:16:25.786125+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-17T05:18:01.504357+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:18:42.787801+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:19:21.594560+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:20:01.945071+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:20:46.772348+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:21:28.327332+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-17T05:22:15.277606+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:22:54.064937+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:23:35.745428+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:24:17.138366+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:24:59.846607+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:25:44.247546+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T05:26:29.169269+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T05:27:10.263453+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T05:27:49.695923+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T05:28:29.616480+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T05:29:11.048430+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T05:29:53.581837+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T05:30:36.984024+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T05:31:58.671299+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-17T05:32:40.962157+00:00 | Stateside | Pinkpatheress | source:amperwave-api
