2026-04-11T15:29:40.187070+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T19:34:58.371914+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:35:32.645886+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:36:07.940257+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:36:42.033898+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:37:16.144019+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:37:50.258989+00:00 | Latch | Disclosure Feat. Sam Smith | source:amperwave-api
2026-04-11T19:38:24.280976+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:38:58.833686+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:39:33.665886+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:40:09.931228+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:41:10.104437+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:41:46.054244+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T19:42:42.693043+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:43:17.162499+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:43:51.626031+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:44:29.605229+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:45:03.301326+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:45:37.701402+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:46:12.758058+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:46:46.976448+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:47:45.506371+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:48:19.462167+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:48:53.296202+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:49:27.995402+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:50:02.244695+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:50:36.754398+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-11T19:51:11.510611+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:51:46.315275+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:52:21.313139+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:52:55.812647+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:53:30.497652+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:54:06.420062+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:54:40.656858+00:00 | Give Me Everything | Pitbull Feat. Ne-Yo, Afrojack, Nayer | source:amperwave-api
2026-04-11T19:55:33.446508+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:56:08.924872+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:07.096606+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:42.929048+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:58:41.794415+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:59:16.096939+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:00:17.308048+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:00:51.551319+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:01:53.513270+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:02:28.663568+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T20:03:30.255457+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T20:04:04.961246+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T20:04:39.840919+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T20:05:14.470574+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T20:05:49.060355+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:06:23.642443+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:06:58.130958+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:07:34.475232+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:08:09.230177+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:08:43.902260+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:09:18.578283+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-11T20:09:53.323306+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:10:27.694703+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:31:02.057410+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:32:01.464632+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:32:36.866075+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:33:36.497037+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:34:11.327265+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:34:45.562689+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:35:23.397156+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:35:58.051385+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T20:36:58.031907+00:00 | Moves Like Jagger | Maroon 5 Feat Christina Aguilera | source:amperwave-api
2026-04-11T20:37:32.705243+00:00 | Moves Like Jagger | Maroon 5 Feat Christina Aguilera | source:amperwave-api
2026-04-11T20:38:07.314119+00:00 | Moves Like Jagger | Maroon 5 Feat Christina Aguilera | source:amperwave-api
2026-04-11T20:38:42.145699+00:00 | Moves Like Jagger | Maroon 5 Feat Christina Aguilera | source:amperwave-api
2026-04-11T20:39:16.896677+00:00 | Moves Like Jagger | Maroon 5 Feat Christina Aguilera | source:amperwave-api
2026-04-11T20:39:51.596654+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:40:27.077646+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:41:01.787245+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:41:36.341035+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:42:11.809140+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:42:46.433195+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:43:21.228361+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:43:56.130060+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:44:31.913015+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:45:06.594724+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:45:41.730683+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:46:21.993401+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:46:56.597406+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:47:58.179507+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:48:33.139559+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:49:08.482393+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:49:52.648671+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:50:27.420170+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-11T20:51:25.449876+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:52:00.937911+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:52:35.435779+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:53:10.084678+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:53:44.735864+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:54:19.718632+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:54:54.077187+00:00 | Firework | Katy Perry | source:amperwave-api
2026-04-11T20:55:29.183175+00:00 | Nice To Meet You | Myles Smith | source:amperwave-api
2026-04-11T20:56:03.481835+00:00 | Nice To Meet You | Myles Smith | source:amperwave-api
2026-04-11T20:56:38.297956+00:00 | Nice To Meet You | Myles Smith | source:amperwave-api
2026-04-11T20:57:15.390163+00:00 | Nice To Meet You | Myles Smith | source:amperwave-api
2026-04-11T20:57:50.444493+00:00 | Nice To Meet You | Myles Smith | source:amperwave-api
2026-04-11T20:58:25.062764+00:00 | Promiscuous Girl | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-11T20:58:59.992674+00:00 | Promiscuous Girl | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-11T20:59:34.328809+00:00 | Promiscuous Girl | Timbaland And Nelly Furtado | source:amperwave-api
