2026-04-15T00:00:15.810600+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-15T01:38:40.173374+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-15T01:39:35.895913+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-15T01:40:12.223421+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-15T01:41:05.135885+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-15T01:41:41.662528+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-15T01:42:17.263938+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T01:42:51.871964+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T01:43:27.802636+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T01:44:03.518269+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T01:44:39.280993+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T01:45:14.510610+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:45:49.543815+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:46:24.563801+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:46:59.489680+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:47:34.018886+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:48:28.160143+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:49:04.119988+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:49:38.811790+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:50:31.211975+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:51:06.533461+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:51:42.258213+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:52:17.561337+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:53:11.361267+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:53:47.678345+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:54:42.467355+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:55:18.402835+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-15T01:56:13.821517+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:56:51.338302+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:57:26.789136+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:58:01.424237+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:58:37.439085+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:59:13.003621+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T01:59:48.104271+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-15T02:00:23.024490+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T02:00:58.946852+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T02:01:35.270030+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T02:02:10.861795+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T02:02:46.381923+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-15T02:03:28.901467+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-15T02:04:05.697392+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-15T02:04:42.381879+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-15T02:05:42.024213+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-15T02:06:17.616787+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-15T02:06:54.125862+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-15T02:07:29.329396+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-15T02:08:20.434219+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T02:08:56.377322+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T02:09:53.520107+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T02:10:31.265666+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-15T02:11:25.783903+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-15T02:12:03.446033+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-15T02:12:39.554712+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:13:14.795348+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:13:50.580372+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:14:25.464378+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:15:00.174767+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:15:34.787076+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:16:10.215500+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:16:45.435577+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:17:20.846689+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:17:56.368519+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:18:31.183084+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:19:06.428574+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:19:41.115448+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:20:41.219875+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:21:37.506278+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-15T02:22:15.041948+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-15T02:23:12.700359+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-15T02:23:48.422291+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-15T02:24:43.968989+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-15T02:25:18.990411+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T02:26:15.903673+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T02:26:52.321041+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T02:27:27.807967+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T02:28:02.624253+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T02:28:38.358813+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:29:13.797570+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:29:48.781456+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:30:24.069778+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:30:59.211211+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:31:34.759470+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:32:10.662182+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T02:32:46.071718+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T02:33:27.837832+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T02:34:03.411935+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T02:34:56.321970+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T02:35:32.492225+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T02:36:07.922106+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-15T02:37:00.572783+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-15T02:37:35.315500+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-15T02:38:19.126581+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-15T02:38:55.492908+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:39:30.723440+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:40:05.654100+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:40:42.409222+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:41:32.903342+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:42:11.057851+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-15T02:42:46.277941+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:43:21.313242+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:43:55.954637+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:44:31.164968+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:45:06.867262+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:45:42.699730+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:46:17.622959+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:46:53.346868+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:47:28.304296+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:48:26.407726+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:49:02.353084+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:49:37.567798+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:50:12.398269+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:50:47.671035+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:51:40.765466+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:52:17.094220+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:52:52.628859+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-15T02:53:54.231641+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-15T02:54:49.683772+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-15T02:55:25.555740+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-15T02:56:20.762168+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:56:56.394673+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:57:31.677332+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:58:06.880727+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:58:42.122386+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:59:17.246969+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-15T02:59:52.556646+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:00:27.999339+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:01:04.322179+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:01:39.617129+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:02:15.424747+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:02:50.984136+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-15T03:03:27.775174+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-15T03:04:04.294562+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-15T03:05:00.493092+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-15T03:05:37.361425+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-15T03:06:32.379053+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T03:07:12.847115+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T03:08:11.976496+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T03:08:47.657695+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T03:09:44.047472+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T03:10:19.158018+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T03:11:15.789179+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T03:11:51.469897+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T03:12:26.854967+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T03:13:02.046331+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T03:13:37.838401+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T03:14:14.012602+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T03:14:50.574338+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T03:15:27.366289+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:16:03.365600+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:16:38.138030+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:17:13.589596+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:17:49.335027+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:18:27.904464+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:19:03.131381+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:19:58.605971+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:20:33.578060+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:21:26.855097+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:22:02.869666+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:22:57.256690+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:23:33.011835+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-15T03:24:30.049834+00:00 | Timeless | The Weeknd Ft Playboi Carti | source:amperwave-api
2026-04-15T03:25:06.182303+00:00 | Timeless | The Weeknd Ft Playboi Carti | source:amperwave-api
