2026-04-18T00:00:00.901464+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-18T00:34:02.991407+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:35:05.608242+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:35:45.517317+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:36:21.341702+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:36:57.639044+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:37:35.133618+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:38:13.317985+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:38:50.203546+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:39:26.696845+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:40:11.219690+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:40:47.391744+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T00:41:23.441833+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:41:59.656499+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:42:35.859430+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:43:11.635862+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:43:47.528430+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:44:34.889871+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T00:45:11.392639+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:45:48.253467+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:46:48.073491+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:47:32.651335+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-18T00:48:08.731712+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-18T00:48:44.879980+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-18T00:49:53.416989+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:50:29.931951+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:51:06.631888+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:52:12.028652+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:52:47.607472+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:53:30.390581+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:54:14.097113+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:54:51.918583+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:55:28.235361+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:56:41.884916+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:57:19.909766+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:57:57.384631+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:58:33.723257+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:59:09.778281+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T00:59:46.006402+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:00:23.142576+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:01:05.668434+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:01:43.161481+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:02:20.122153+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:02:56.737438+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:03:35.070216+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:04:11.826961+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T01:04:48.147895+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-18T01:05:36.904885+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-18T01:06:14.506486+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-18T01:06:51.146892+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:07:27.663087+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:08:19.749810+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:08:58.160080+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:09:34.609462+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:10:13.185433+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T01:10:58.229308+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-18T01:11:37.337828+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-18T01:12:13.238841+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-18T01:12:49.963559+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-18T01:13:59.192826+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-18T01:14:35.213983+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T01:15:11.259038+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T01:15:49.164245+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T01:16:26.206266+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T01:17:03.590817+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T01:18:11.126737+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:18:48.715941+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:19:25.246853+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:20:02.860043+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:20:42.458732+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:21:19.972672+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:21:56.448830+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:22:33.188354+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:23:10.015830+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:23:47.792750+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:24:24.679069+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:25:00.748674+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:25:37.572946+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:26:13.376875+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:26:50.230680+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:27:37.358552+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T01:28:13.797925+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:28:50.667260+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:29:58.349614+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:30:37.952720+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:31:14.073196+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T01:32:20.566955+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T01:33:00.688061+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T01:33:37.120663+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T01:34:35.336013+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:35:11.538347+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:35:46.850487+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:36:50.979349+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:37:28.270775+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:38:03.632572+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:39:05.114883+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:39:42.813821+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:40:18.100191+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:40:54.348277+00:00 | Bad Habits | Ed Sheeran | source:amperwave-api
2026-04-18T01:41:29.984270+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:42:05.443219+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:42:41.026428+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:43:16.935149+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:43:52.844613+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:44:28.622820+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:45:04.848399+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T01:45:40.350236+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T01:46:16.241053+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T01:46:52.412439+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T01:47:27.691546+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T01:48:31.902883+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:49:11.900690+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:49:47.642863+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:50:50.592129+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:51:26.929094+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:52:02.261645+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:53:08.815776+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:53:45.216246+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:54:21.755146+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:55:31.493030+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:56:07.828246+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:56:44.207974+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:57:48.609350+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:58:24.654431+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T01:59:01.792808+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T01:59:38.194377+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T02:00:48.015326+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T02:01:24.638425+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T02:02:00.936420+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T02:02:37.934524+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T02:03:14.005832+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T02:03:51.058919+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:04:26.994474+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:05:02.509189+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:05:38.714303+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:06:14.328646+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:06:50.152952+00:00 | Wild Thoughts | Dj Khaled | source:amperwave-api
2026-04-18T02:07:26.705397+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T02:08:03.791345+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T02:08:41.185123+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T02:09:36.370869+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T02:10:12.845857+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:10:49.934126+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:11:25.814373+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:12:06.387444+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:12:43.288518+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:13:19.414532+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T02:13:55.027223+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-18T02:15:02.899704+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-18T02:15:38.506411+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-18T02:16:14.257971+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:16:56.575758+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:17:32.479350+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:18:08.026861+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:19:12.407467+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:19:48.149850+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:20:24.197516+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:21:28.340931+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:22:06.035901+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:22:42.466285+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:23:18.570617+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:23:55.087583+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:24:31.223224+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:25:08.229149+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T02:25:43.969470+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T02:26:20.135819+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T02:26:56.020305+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T02:27:32.607215+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T02:28:07.845594+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T02:28:44.490446+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:29:21.435893+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:29:58.191328+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:30:36.756948+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:31:12.741617+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:31:48.819205+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T02:32:55.954886+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T02:33:35.984467+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T02:34:13.426507+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T02:35:23.094032+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T02:36:01.238678+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T02:36:37.166079+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T02:37:48.936074+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T02:38:25.113999+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T02:39:00.595523+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T02:40:02.253918+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T02:40:40.993873+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T02:41:16.437590+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T02:42:19.269874+00:00 | Down | Jay Sean | source:amperwave-api
2026-04-18T02:42:55.207761+00:00 | Down | Jay Sean | source:amperwave-api
2026-04-18T02:43:31.072759+00:00 | Down | Jay Sean | source:amperwave-api
2026-04-18T02:44:06.688077+00:00 | Down | Jay Sean | source:amperwave-api
2026-04-18T02:44:42.638314+00:00 | Down | Jay Sean | source:amperwave-api
2026-04-18T02:45:17.887087+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:45:53.369666+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:46:29.222254+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:47:04.831948+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:47:40.282199+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:48:16.486901+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:48:52.313403+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:49:28.066281+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:50:04.098532+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:50:40.463455+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:51:35.443106+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:52:12.560437+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:52:48.000501+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:53:54.750398+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:54:31.860727+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:55:07.627542+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:56:12.919552+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T02:56:49.482081+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T02:57:25.299480+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T02:58:30.389720+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T02:59:06.535801+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T02:59:42.100161+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T03:00:46.182273+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T03:01:23.475214+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T03:01:58.474603+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T03:03:02.034302+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-18T03:03:39.742785+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-18T03:04:15.516021+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-18T03:04:51.344219+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-18T03:05:27.532785+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-18T03:06:03.310340+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:06:39.487510+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:07:14.476543+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:07:49.281153+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:08:24.465712+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:08:59.980656+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T03:09:35.699835+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T03:10:12.428343+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T03:10:48.711391+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T03:11:24.581947+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T03:11:59.769999+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T03:13:07.117623+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-18T03:13:43.897316+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:14:20.357186+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:15:26.695707+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:16:02.003079+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:17:09.810877+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:17:45.834827+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:18:21.286321+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:19:25.325199+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:20:01.355566+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:20:37.286864+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:21:40.085529+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:22:16.814225+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:22:53.591126+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T03:24:00.297382+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-18T03:24:38.020383+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-18T03:25:13.669318+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
