2026-04-17T00:00:39.153153+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T00:29:23.473443+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:30:04.752580+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:30:47.629525+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:31:29.529976+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:32:13.029478+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:32:54.320366+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:33:35.870151+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:34:16.458950+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:34:56.873679+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:35:36.661962+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:36:15.292861+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:36:58.033375+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:37:36.809054+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:38:19.363411+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T00:39:42.521541+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T00:40:29.983371+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T00:41:11.257537+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T00:41:50.210271+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T00:42:29.195494+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:43:51.447347+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:45:03.195413+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:45:46.821738+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:46:28.293138+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:47:06.976898+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:47:46.994411+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:49:15.065582+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:50:03.982764+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:50:44.507448+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:51:23.842427+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:52:03.577843+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:52:42.173931+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:53:24.756196+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:54:59.069199+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:55:38.104993+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:56:17.749814+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:56:57.985376+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:57:36.631875+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T00:58:58.431167+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T00:59:43.385615+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:00:24.223209+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:01:03.936240+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:01:43.508682+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:02:28.425539+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:03:07.595456+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:03:48.353353+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:04:27.871277+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:05:09.019366+00:00 | Diamonds | Rihanna | source:amperwave-api
2026-04-17T01:05:50.733073+00:00 | Diamonds | Rihanna | source:amperwave-api
2026-04-17T01:06:33.745934+00:00 | Diamonds | Rihanna | source:amperwave-api
2026-04-17T01:07:12.493057+00:00 | Diamonds | Rihanna | source:amperwave-api
2026-04-17T01:07:53.552046+00:00 | Diamonds | Rihanna | source:amperwave-api
2026-04-17T01:08:34.010000+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T01:09:14.759386+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T01:09:53.829842+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T01:10:34.532032+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T01:11:14.416030+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:11:55.749389+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:12:34.644856+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:13:59.634622+00:00 | Good Luck, Babe | Chappell Roan | source:amperwave-api
2026-04-17T01:14:38.505731+00:00 | Good Luck, Babe | Chappell Roan | source:amperwave-api
2026-04-17T01:15:18.465524+00:00 | Good Luck, Babe | Chappell Roan | source:amperwave-api
2026-04-17T01:16:00.549217+00:00 | Good Luck, Babe | Chappell Roan | source:amperwave-api
2026-04-17T01:16:41.224692+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:17:19.632245+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:17:58.570725+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:18:37.654568+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:19:16.713124+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:19:56.689829+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:20:37.568871+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:21:17.623887+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:21:56.436129+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:23:35.796675+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:24:24.230790+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:25:04.676746+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T01:25:46.211809+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:26:27.565795+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:27:54.100324+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-17T01:28:35.496679+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-17T01:29:15.450086+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-17T01:29:53.315383+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-17T01:30:34.324872+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-17T01:31:54.329483+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-17T01:32:36.355386+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-17T01:33:14.123632+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-17T01:33:53.361245+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T01:34:33.820884+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T01:36:03.197757+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T01:36:44.792400+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T01:37:23.302127+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T01:38:03.703630+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T01:38:44.709632+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T01:40:16.313202+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T01:40:56.863414+00:00 | E.T. | Katy Perry | source:amperwave-api
2026-04-17T01:41:37.973239+00:00 | E.T. | Katy Perry | source:amperwave-api
2026-04-17T01:42:17.337918+00:00 | E.T. | Katy Perry | source:amperwave-api
2026-04-17T01:42:56.795204+00:00 | E.T. | Katy Perry | source:amperwave-api
2026-04-17T01:43:38.826168+00:00 | E.T. | Katy Perry | source:amperwave-api
2026-04-17T01:44:18.481847+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:44:58.686477+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:45:39.643262+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:46:17.921813+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:46:56.952679+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:47:36.501632+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:48:14.438362+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:48:53.387981+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:49:31.957111+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:50:12.748471+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:50:51.349121+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:51:31.262866+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:52:12.770416+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:52:53.736991+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:53:34.415306+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T01:54:59.348183+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:55:39.521757+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:56:19.909407+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:57:01.252511+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:57:42.662946+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:58:22.987107+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T01:59:02.156085+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-17T01:59:42.000874+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-17T02:00:24.764567+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-17T02:01:05.348745+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-17T02:01:46.354889+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T02:02:25.506845+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T02:03:05.800898+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T02:03:44.869346+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T02:04:25.403223+00:00 | Break My Heart | Dua Lipa | source:amperwave-api
2026-04-17T02:05:03.880317+00:00 | Break My Heart | Dua Lipa | source:amperwave-api
2026-04-17T02:06:14.979423+00:00 | Break My Heart | Dua Lipa | source:amperwave-api
2026-04-17T02:07:00.897055+00:00 | Break My Heart | Dua Lipa | source:amperwave-api
2026-04-17T02:07:38.982447+00:00 | Break My Heart | Dua Lipa | source:amperwave-api
2026-04-17T02:08:19.547377+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T02:09:01.424641+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T02:10:14.537944+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T02:10:57.421735+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T02:11:35.628569+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T02:12:13.592553+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T02:12:53.223573+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T02:13:31.971890+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T02:15:05.925931+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T02:15:44.671142+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T02:16:26.375694+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T02:17:08.070352+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T02:18:28.621892+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:19:08.792669+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:19:48.086091+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:20:27.961460+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:21:07.524451+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:22:35.290931+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:23:14.970857+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:23:52.897611+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:24:33.153167+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:25:12.169813+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:25:53.976683+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:26:40.119609+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:27:19.724304+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:27:57.542427+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-17T02:28:36.668096+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T02:29:16.575564+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T02:29:57.388153+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T02:30:38.744538+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:31:18.645651+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:33:41.620457+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:38:43.974193+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-17T02:43:14.917367+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-17T02:48:24.532070+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T02:53:48.120171+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T02:59:32.798359+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T03:04:46.198559+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T03:10:08.837540+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-17T03:14:52.178186+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T03:20:25.229631+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T03:25:29.482841+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T03:31:44.332133+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T03:37:04.830961+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-17T03:42:19.088037+00:00 | Grenade | Bruno Mars | source:amperwave-api
2026-04-17T03:47:40.054964+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-17T03:52:32.108872+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-17T03:57:54.126899+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-17T04:02:55.906887+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T04:08:20.955420+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:13:44.759148+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-17T04:18:59.667394+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-17T04:24:24.158962+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-17T04:29:44.110047+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T04:30:48.733516+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T04:31:29.019111+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T04:32:12.627946+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T04:32:54.107471+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T04:33:32.513974+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T04:34:13.295949+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T04:34:52.229381+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:35:34.180773+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:36:13.939377+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:36:53.184996+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:37:31.360058+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:38:57.226477+00:00 | Closer | The Chainsmokers | source:amperwave-api
2026-04-17T04:39:41.236369+00:00 | Closer | The Chainsmokers | source:amperwave-api
2026-04-17T04:40:23.244532+00:00 | Closer | The Chainsmokers | source:amperwave-api
2026-04-17T04:41:02.145823+00:00 | Closer | The Chainsmokers | source:amperwave-api
2026-04-17T04:41:41.308568+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T04:42:19.098276+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T04:42:57.588707+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T04:43:36.190876+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-17T04:44:13.045413+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:44:51.505942+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:46:27.546538+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:47:12.441319+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:47:49.323473+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:48:26.717694+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:49:03.942826+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:49:45.672867+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:51:09.567692+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:51:50.541098+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:52:29.251359+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:53:08.729544+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:53:48.611854+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:54:26.621816+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T04:55:41.078307+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T04:56:27.174537+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T04:57:06.425968+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T04:57:45.111091+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T04:58:21.502441+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T04:59:45.650329+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:00:30.041072+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:01:07.749029+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:01:48.609588+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:02:28.752818+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:03:59.329550+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:04:42.637146+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-17T05:05:21.881006+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-17T05:06:06.304473+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-17T05:06:45.425959+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-17T05:07:26.705553+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-17T05:08:04.293244+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:08:45.828454+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:09:25.481911+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:10:05.922454+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:10:46.799326+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:11:28.100221+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:12:09.855841+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:12:53.346710+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T05:13:35.402549+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T05:14:17.595036+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T05:14:57.922563+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T05:15:38.494629+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T05:16:19.451365+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-17T05:17:01.547599+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:18:36.650479+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:19:16.496162+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:19:56.444976+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:20:39.770382+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:21:21.965687+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:22:05.786224+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:22:49.930096+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:23:28.997182+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:24:11.677158+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T05:24:53.395418+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-17T05:25:34.624192+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-17T05:26:22.051162+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-17T05:27:03.690749+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-17T05:27:44.425607+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T05:28:23.815135+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T05:29:05.572995+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T05:29:46.054387+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T05:30:30.454745+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T05:31:47.710525+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T05:32:34.157809+00:00 | I Just Might | Bruno Mars | source:amperwave-api
