2026-04-19T00:00:34.060656+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:36:00.614042+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:36:37.800906+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:37:14.380608+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:38:13.588354+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:38:51.251388+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:39:27.721280+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:40:02.904549+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:40:39.387860+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:41:15.547300+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:41:51.714708+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:42:27.534116+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:43:03.664916+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:43:40.448445+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:44:16.569480+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:44:52.625389+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:45:29.711059+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:46:35.530081+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:47:16.027565+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:47:51.984589+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:48:44.444948+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:49:22.285333+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:49:58.914453+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:50:53.220165+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:51:31.260831+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:52:07.427714+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:53:02.051261+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:53:38.212499+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:54:14.625612+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:55:06.730771+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:55:44.370145+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:56:21.360903+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:57:11.863483+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:57:49.421609+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:58:25.322148+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:59:01.634189+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T00:59:40.142875+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:00:15.965396+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:00:59.274369+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:01:37.527610+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:02:13.462390+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:02:49.481851+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:03:26.218085+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:04:03.247185+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:04:41.110888+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:06:58.164116+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:11:48.256099+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:17:02.594331+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:22:24.606609+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:28:18.565717+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:34:04.214103+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:39:21.626951+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:44:33.668815+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:49:56.088175+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T01:55:29.392575+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:00:28.647977+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:05:40.456347+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:11:04.614336+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:16:05.991808+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:21:20.703324+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:26:08.367844+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:30:47.647130+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:35:55.540368+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:41:54.378791+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:46:52.745540+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:51:53.045832+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T02:57:36.134094+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:03:20.268302+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:03:55.217613+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:04:30.886458+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:05:06.045307+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:05:42.488289+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:06:18.354443+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:06:56.200158+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:07:32.374944+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:08:08.504668+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:08:44.506760+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:09:20.522758+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:09:56.152926+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:10:36.538655+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:11:14.499927+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:11:50.349901+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:12:48.193389+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:13:26.407526+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:14:01.345023+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:15:07.050771+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:15:43.797414+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:16:19.576571+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:17:22.157938+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:18:00.676183+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:18:35.855341+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:19:38.837784+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:20:14.692931+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:20:50.645901+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:21:44.373649+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:22:20.767310+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:22:56.008761+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:23:33.265455+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:24:07.832827+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:24:42.560899+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:25:18.587763+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:25:53.254138+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:26:28.903061+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:27:03.881460+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:27:39.024546+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:28:13.728988+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:28:49.322285+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:29:25.336552+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:30:00.169455+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:31:05.659445+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:31:41.497335+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:32:41.086608+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:33:21.946336+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:33:57.042823+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:34:58.597418+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:35:34.397955+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:36:09.521809+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:37:12.267822+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:37:47.375165+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:38:22.203345+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:39:20.244531+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:39:55.705785+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:40:31.031470+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:41:31.456073+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:42:08.294043+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:42:43.861680+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:43:19.071729+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:43:54.070332+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:44:29.264047+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:45:04.791266+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:45:40.343499+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:46:15.560492+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:46:51.633601+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:47:28.726426+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:48:04.761817+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:48:40.002025+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:49:15.801931+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:49:50.537069+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:50:38.251127+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:51:15.835250+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:51:51.242123+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:52:48.102341+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-19T03:53:23.906026+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-19T03:53:58.818045+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-19T03:54:58.721061+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-19T03:55:33.531059+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-19T03:56:08.651476+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T03:57:04.558697+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T03:57:40.715444+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T03:58:15.541657+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T03:59:13.917081+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T03:59:51.036455+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T04:00:29.664813+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T04:01:23.024002+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T04:02:21.975203+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T04:03:11.964100+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-19T04:03:49.265798+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-19T04:04:24.377600+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-19T04:05:00.513118+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T04:05:37.356663+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T04:06:13.221088+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T04:06:48.815478+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T04:07:23.685924+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:07:58.757776+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:08:33.524710+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:09:10.095603+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:09:45.571424+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:10:33.472406+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:11:10.830501+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:11:46.108724+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:12:38.263594+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:13:16.010151+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:13:51.762368+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:14:41.925300+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:15:18.182428+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T04:15:54.064445+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-19T04:16:47.652602+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-19T04:17:23.017849+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-19T04:17:58.669299+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-19T04:18:55.916000+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T04:19:32.975892+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T04:20:08.303336+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T04:21:03.769697+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T04:21:40.786817+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:22:16.358933+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:22:51.519357+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:23:26.402449+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:24:01.403951+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:24:36.090253+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:25:11.443290+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T04:25:47.629410+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:26:24.488815+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:26:59.904687+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:27:36.678128+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:28:12.970698+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:28:48.564429+00:00 | Paparazzi | Lady Gaga | source:amperwave-api
2026-04-19T04:29:24.029996+00:00 | Paparazzi | Lady Gaga | source:amperwave-api
2026-04-19T04:30:00.329888+00:00 | Paparazzi | Lady Gaga | source:amperwave-api
2026-04-19T04:31:05.070863+00:00 | Paparazzi | Lady Gaga | source:amperwave-api
2026-04-19T04:31:41.514511+00:00 | Paparazzi | Lady Gaga | source:amperwave-api
2026-04-19T04:32:41.128926+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:33:18.865224+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:33:54.937506+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:34:55.976807+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:35:30.777077+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:36:05.995656+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:37:02.165694+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:37:37.863618+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:38:12.977434+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:39:00.863357+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:39:35.979516+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:40:10.977399+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:41:05.237739+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:41:40.893711+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:42:15.925096+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:42:51.581496+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:43:27.310348+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:44:02.212172+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:44:38.249120+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:45:13.054061+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:45:48.781540+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:46:23.935265+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:46:58.780172+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T04:47:33.604508+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-19T04:48:08.878687+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-19T04:48:43.928917+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-19T04:49:31.551847+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-19T04:50:08.251879+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-19T04:50:45.713515+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:51:55.035958+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:52:34.342971+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:53:10.872363+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:53:45.349636+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:54:24.479780+00:00 | Lean On | Major Lazer | source:amperwave-api
2026-04-19T04:54:59.362246+00:00 | Lean On | Major Lazer | source:amperwave-api
2026-04-19T04:55:34.685099+00:00 | Lean On | Major Lazer | source:amperwave-api
2026-04-19T04:56:33.004953+00:00 | Lean On | Major Lazer | source:amperwave-api
2026-04-19T04:57:08.680018+00:00 | Feel This Moment | Pitbull | source:amperwave-api
2026-04-19T04:57:43.655540+00:00 | Feel This Moment | Pitbull | source:amperwave-api
2026-04-19T04:58:31.707798+00:00 | Feel This Moment | Pitbull | source:amperwave-api
2026-04-19T04:59:08.443431+00:00 | Feel This Moment | Pitbull | source:amperwave-api
2026-04-19T04:59:43.731798+00:00 | Feel This Moment | Pitbull | source:amperwave-api
2026-04-19T05:00:32.690218+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T05:01:11.287321+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T05:01:45.982641+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T05:02:20.466472+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T05:02:55.955025+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T05:03:30.888194+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:04:06.546264+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:04:43.421553+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:05:18.722948+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:05:53.346447+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:06:28.219126+00:00 | Die For You | The Weeknd | source:amperwave-api
2026-04-19T05:07:03.068913+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:07:37.723750+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:08:12.522908+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:08:48.329891+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:09:35.582526+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:10:11.787782+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T05:10:46.302169+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T05:11:40.691210+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T05:12:17.250226+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T05:12:52.989459+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-19T05:13:43.830270+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
