2026-04-17T00:00:02.424391+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:23:47.648874+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:24:29.593243+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:25:10.474000+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:25:50.245249+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:26:30.810816+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:28:05.625190+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:28:45.967423+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:29:25.848737+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:30:10.465478+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:30:52.373294+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:31:32.993311+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:32:17.032966+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:32:57.934175+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:33:40.048682+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:34:19.758467+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:34:59.350266+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:35:39.582118+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:36:19.254913+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:37:00.168921+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:37:41.321033+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:38:22.488507+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:39:48.576273+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:40:33.641034+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:41:13.951028+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:41:52.723424+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:42:32.032067+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:44:26.579937+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:45:07.807614+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:45:51.818643+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:46:30.915897+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:47:09.674856+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:47:50.404589+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:49:26.665355+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:50:06.620310+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:50:47.326888+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:51:26.525037+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:52:06.867610+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:52:47.072184+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-17T00:55:01.592303+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:55:40.597665+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:56:21.678641+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:57:01.001647+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:57:41.545680+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:59:04.429770+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T00:59:47.097764+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:00:27.875474+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:01:07.129683+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:01:47.036497+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:02:30.745739+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:03:10.095189+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:03:51.916013+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:04:30.614813+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:05:11.736995+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:05:57.091369+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:06:36.409849+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:07:15.687024+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:07:56.075338+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:08:36.949158+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:09:17.913834+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:09:57.521615+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:10:37.925342+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:11:18.223143+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:11:58.496538+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:12:38.588906+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:14:03.029432+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:14:41.810363+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:15:23.806543+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:16:02.838517+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:16:43.297464+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:17:22.197700+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:18:01.934152+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:18:40.424350+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:19:19.464429+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:19:59.680332+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:20:41.598298+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:21:20.829452+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:21:59.928741+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:23:45.414210+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:24:27.884961+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:25:08.049248+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:25:50.540032+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:26:30.411781+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:27:58.596920+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:28:39.785849+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:29:18.125956+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:29:57.103167+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:30:37.661173+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:31:59.468205+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:32:38.814500+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:33:17.617765+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:33:57.804272+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:34:37.058579+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T01:36:09.139586+00:00 | Anxiety | Doechii | source:amperwave-api
2026-04-17T01:36:47.108697+00:00 | Anxiety | Doechii | source:amperwave-api
2026-04-17T01:37:26.367713+00:00 | Anxiety | Doechii | source:amperwave-api
2026-04-17T01:38:07.286942+00:00 | Anxiety | Doechii | source:amperwave-api
2026-04-17T01:38:47.267454+00:00 | Anxiety | Doechii | source:amperwave-api
2026-04-17T01:40:20.395913+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:41:00.915953+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:41:40.794689+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:42:20.905433+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:43:01.433301+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:43:41.908728+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:44:21.688233+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:45:02.126702+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:45:41.888715+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:46:21.000932+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:46:59.511533+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:47:38.917008+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:48:17.229406+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:48:55.745538+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:49:34.493628+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:50:15.515993+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:50:53.324241+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:51:34.429607+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:52:15.517218+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:52:57.123048+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:53:37.437551+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:55:02.132689+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:55:42.342081+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T01:56:23.372266+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T01:57:04.303161+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T01:57:45.348669+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T01:58:25.396165+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T01:59:05.917385+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T01:59:46.281119+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:00:28.506869+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:01:09.601840+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:01:49.609417+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:02:29.110112+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:03:09.109507+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:03:47.358272+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:04:28.333003+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:05:07.070896+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:06:21.960220+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:07:03.436277+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:07:42.012963+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:08:23.693028+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:09:04.735139+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:10:19.669788+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:11:00.187991+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:11:37.882881+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:12:16.969752+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:12:55.708326+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:14:27.813682+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:15:08.666878+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:15:47.213040+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:16:29.206529+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:17:11.884953+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:18:33.365261+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:19:12.581953+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:19:51.366647+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:20:31.364431+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:21:12.059096+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:22:38.478139+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:23:17.281846+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:23:56.189449+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:24:35.839121+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:25:16.199218+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:25:56.760988+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:26:43.249781+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:27:21.968447+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:28:00.289803+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:28:41.183894+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:29:20.140991+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:30:00.721655+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:30:41.344383+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:31:22.376492+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:39:45.648950+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:44:38.076290+00:00 | Im Good (Blue) | David Guetta | source:amperwave-api
2026-04-17T02:49:58.060432+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T02:55:36.436919+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-17T03:00:57.498855+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T03:06:09.510066+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T03:11:22.711066+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-17T03:21:59.957713+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:26:54.981248+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:33:07.582408+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:38:29.900410+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:44:01.430357+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:48:54.351509+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-17T03:53:55.876863+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T03:59:17.773887+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T04:04:19.506877+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T04:09:44.657710+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T04:15:00.143933+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-17T04:26:06.904195+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T04:30:08.010626+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T04:30:52.506687+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T04:31:32.981640+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-17T04:32:16.931157+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:32:56.368175+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:33:36.314029+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:34:16.209088+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:34:55.833830+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T04:35:36.897922+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:36:16.554966+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:36:56.719921+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:37:33.648231+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:39:05.099685+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:39:43.937608+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:40:26.013992+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:41:05.696211+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T04:41:43.656252+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:42:22.092138+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:43:00.873995+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:43:38.319252+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:44:15.407981+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:44:53.522492+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T04:46:36.436312+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:47:14.574849+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:47:51.021808+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T04:48:29.190141+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:49:06.981653+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:49:49.611450+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:51:15.270144+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:51:53.386436+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T04:52:32.659384+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:53:13.353143+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:53:50.533974+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:54:28.872136+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T04:55:50.555432+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:56:29.306673+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:57:09.253217+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:57:46.714811+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:58:24.591608+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T04:59:53.751049+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T05:00:32.632661+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T05:01:12.121484+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T05:01:50.978284+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T05:02:32.604403+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T05:04:06.214544+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T05:04:44.707038+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T05:05:25.155431+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:06:08.853474+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:06:50.127868+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:07:28.973342+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:08:07.310186+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T05:08:49.005059+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:09:29.150552+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:10:10.117582+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:10:49.429755+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:11:33.026339+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T05:12:13.422364+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:12:59.839335+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:13:39.141563+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:14:20.604871+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:15:01.914783+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-17T05:15:42.069821+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:16:23.317221+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:17:50.810914+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T05:18:40.783550+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T05:19:19.647299+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T05:19:59.806734+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-17T05:20:43.954501+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:21:25.156972+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:22:11.276977+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:22:52.381764+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:23:32.974047+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T05:24:15.336757+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:24:57.445378+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:25:39.126452+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:26:26.153590+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:27:07.484205+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:27:47.902639+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:28:26.907820+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-17T05:29:08.629830+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:29:50.357787+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:30:34.936435+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:31:55.910563+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T05:32:36.077068+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:33:25.623211+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:34:05.316988+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:34:47.629009+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T05:36:08.017115+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:36:47.396029+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:37:26.324974+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T05:38:07.278511+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:38:49.243994+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:40:27.609870+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:41:09.505078+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:41:48.534213+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:42:30.989437+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:44:00.936769+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:44:50.381439+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T05:45:30.647417+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-17T05:46:11.272374+00:00 | Man I Need | Olivia Dean | source:amperwave-api
