2026-04-11T15:29:37.560769+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:30:50.502946+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:31:25.488044+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-11T19:32:01.555845+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-11T19:32:36.639922+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-11T19:33:12.359197+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-11T19:33:46.423592+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-11T19:34:21.537004+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:34:55.880556+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:35:30.349645+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:36:05.373829+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:36:39.970387+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:37:13.954847+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:37:48.170004+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-11T19:38:22.342145+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-11T19:38:56.604083+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-11T19:39:31.079406+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-11T19:40:06.153366+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-11T19:41:06.968291+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-11T19:41:43.271045+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-11T19:42:18.224540+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-11T19:43:14.739856+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-11T19:43:49.249041+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-11T19:44:26.765940+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:45:01.232387+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:45:35.226353+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:46:10.275726+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:46:44.577494+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:47:42.273931+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:48:17.201316+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:48:51.275089+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:49:25.471974+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:50:00.011055+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:50:34.570875+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:51:08.727356+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:51:43.462821+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:52:18.660781+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:52:53.654067+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:53:28.044618+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:54:04.238073+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-11T19:54:38.126231+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:55:28.921694+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:56:06.072982+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:57:04.101842+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:57:39.895126+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:58:39.085210+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T19:59:13.811794+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:00:49.400577+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:01:23.737516+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:02:25.849138+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:03:24.991301+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:04:02.428825+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:04:36.880794+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:05:11.863858+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:05:46.499264+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:06:21.101784+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:06:55.639549+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:07:31.713395+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:08:06.380445+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:08:41.177206+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-11T20:09:15.639188+00:00 | Die With A Smile | Bruno Mars | source:amperwave-api
2026-04-11T20:09:51.082374+00:00 | Die With A Smile | Bruno Mars | source:amperwave-api
2026-04-11T20:10:25.419019+00:00 | Die With A Smile | Bruno Mars | source:amperwave-api
2026-04-11T20:10:59.819872+00:00 | Die With A Smile | Bruno Mars | source:amperwave-api
2026-04-11T20:30:59.819968+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-11T20:31:57.493803+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:32:33.604546+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:33:33.270195+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:34:08.826158+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:34:43.271985+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:35:20.685719+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T20:35:55.147736+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:36:54.957419+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:37:30.078964+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:38:04.922716+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:38:39.427143+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:39:14.567824+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:39:49.166773+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:40:24.046980+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:40:59.186081+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:41:33.649745+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:42:08.533145+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:42:43.977522+00:00 | I Dont Care | Ed Sheeran | source:amperwave-api
2026-04-11T20:43:18.862203+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:43:53.444469+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:44:29.105943+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:45:04.437359+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:45:38.989831+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:46:15.626008+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:46:54.276932+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:47:54.665053+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:48:30.578005+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:49:06.027255+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:49:46.458140+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:50:24.959157+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:51:22.151700+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:51:58.154193+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:52:33.261069+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-11T20:53:07.748056+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:53:42.519311+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:54:17.300226+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:54:51.754475+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:55:26.078522+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:56:01.170518+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:56:35.387676+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-11T20:57:10.853971+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T20:57:48.110568+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T20:58:22.726124+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T20:58:57.409424+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T20:59:32.109349+00:00 | Folded | Kehlani | source:amperwave-api
