2026-04-19T14:41:07.619470+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T15:21:14.484866+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T15:21:55.614589+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T15:22:56.415152+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T15:23:38.641668+00:00 | Babydoll | Dominic Fike | source:connmedia-amperwave
2026-04-19T15:24:20.419173+00:00 | Babydoll | Dominic Fike | source:connmedia-amperwave
2026-04-19T15:25:02.119412+00:00 | Too Sweet | Hozier | source:connmedia-amperwave
2026-04-19T15:25:45.279782+00:00 | Too Sweet | Hozier | source:connmedia-amperwave
2026-04-19T15:26:25.146333+00:00 | Too Sweet | Hozier | source:connmedia-amperwave
2026-04-19T15:27:06.064423+00:00 | Too Sweet | Hozier | source:connmedia-amperwave
2026-04-19T15:27:45.874597+00:00 | Too Sweet | Hozier | source:connmedia-amperwave
2026-04-19T15:28:28.171901+00:00 | Roommates | Hillary Duff | source:connmedia-amperwave
2026-04-19T15:29:09.133224+00:00 | Roommates | Hillary Duff | source:connmedia-amperwave
2026-04-19T15:29:51.791672+00:00 | Roommates | Hillary Duff | source:connmedia-amperwave
2026-04-19T15:30:31.763667+00:00 | Roommates | Hillary Duff | source:connmedia-amperwave
2026-04-19T15:31:27.722255+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:32:09.684821+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:32:50.779587+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:33:59.419140+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:34:38.553002+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:35:21.800332+00:00 | Sure Thing | Miguel | source:connmedia-amperwave
2026-04-19T15:36:02.896415+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T15:36:45.261675+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T15:37:46.959850+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T15:38:28.218131+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T15:39:16.750338+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T15:39:58.279073+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T15:40:38.890917+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T15:41:48.409907+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T15:42:29.016217+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T15:43:10.873513+00:00 | Younger You | Miley Cyrus | source:connmedia-amperwave
2026-04-19T15:43:50.730789+00:00 | Younger You | Miley Cyrus | source:connmedia-amperwave
2026-04-19T15:44:36.950630+00:00 | Younger You | Miley Cyrus | source:connmedia-amperwave
2026-04-19T15:45:17.126510+00:00 | Younger You | Miley Cyrus | source:connmedia-amperwave
2026-04-19T15:45:57.909544+00:00 | God'S Plan | Drake | source:connmedia-amperwave
2026-04-19T15:46:38.380149+00:00 | God'S Plan | Drake | source:connmedia-amperwave
2026-04-19T15:47:19.526718+00:00 | God'S Plan | Drake | source:connmedia-amperwave
2026-04-19T15:47:59.013093+00:00 | God'S Plan | Drake | source:connmedia-amperwave
2026-04-19T15:48:40.813351+00:00 | God'S Plan | Drake | source:connmedia-amperwave
2026-04-19T15:49:30.554236+00:00 | Heat Waves | Glass Animals | source:connmedia-amperwave
2026-04-19T15:50:12.042055+00:00 | Heat Waves | Glass Animals | source:connmedia-amperwave
2026-04-19T15:50:53.481095+00:00 | Heat Waves | Glass Animals | source:connmedia-amperwave
2026-04-19T15:51:34.995511+00:00 | Heat Waves | Glass Animals | source:connmedia-amperwave
2026-04-19T15:52:16.197862+00:00 | Nothin' On You [Feat. Bruno Mars] (Radio Ed | B.O.B. | source:connmedia-amperwave
2026-04-19T15:53:01.453415+00:00 | Nothin' On You [Feat. Bruno Mars] (Radio Ed | B.O.B. | source:connmedia-amperwave
2026-04-19T15:54:08.081549+00:00 | Nothin' On You [Feat. Bruno Mars] (Radio Ed | B.O.B. | source:connmedia-amperwave
2026-04-19T15:54:48.282231+00:00 | Nothin' On You [Feat. Bruno Mars] (Radio Ed | B.O.B. | source:connmedia-amperwave
2026-04-19T15:55:42.895670+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T15:56:22.801284+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T15:57:04.076452+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T15:57:45.631655+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T15:58:29.150356+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T15:59:08.564404+00:00 | Latch | Disclosure | source:connmedia-amperwave
2026-04-19T16:00:16.661107+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T16:00:56.652304+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T16:01:42.508559+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T16:02:22.479432+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T16:03:03.631965+00:00 | Elizabeth Taylor | Taylor Swift | source:connmedia-amperwave
2026-04-19T16:03:43.915600+00:00 | Elizabeth Taylor | Taylor Swift | source:connmedia-amperwave
2026-04-19T16:04:25.853366+00:00 | Elizabeth Taylor | Taylor Swift | source:connmedia-amperwave
2026-04-19T16:05:06.386798+00:00 | Elizabeth Taylor | Taylor Swift | source:connmedia-amperwave
2026-04-19T16:05:48.972683+00:00 | Elizabeth Taylor | Taylor Swift | source:connmedia-amperwave
2026-04-19T16:06:29.619654+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:07:12.497599+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:07:52.660621+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:08:56.288782+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:09:36.454599+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:10:24.615238+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:11:15.595351+00:00 | Blinding Lights | The Weeknd | source:connmedia-amperwave
2026-04-19T16:11:56.832418+00:00 | Swim | Bts | source:connmedia-amperwave
2026-04-19T16:13:10.355594+00:00 | Swim | Bts | source:connmedia-amperwave
2026-04-19T16:13:51.958007+00:00 | Watermelon Sugar | Harry Styles | source:connmedia-amperwave
2026-04-19T16:15:00.085377+00:00 | Watermelon Sugar | Harry Styles | source:connmedia-amperwave
2026-04-19T16:15:51.891777+00:00 | Watermelon Sugar | Harry Styles | source:connmedia-amperwave
2026-04-19T16:17:02.642409+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T16:17:42.808658+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T16:18:47.060566+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T16:19:26.962950+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T16:20:08.114941+00:00 | Blink! | Corbyn Besson | source:connmedia-amperwave
2026-04-19T16:20:57.489212+00:00 | Blink! | Corbyn Besson | source:connmedia-amperwave
2026-04-19T16:21:38.551225+00:00 | Blink! | Corbyn Besson | source:connmedia-amperwave
2026-04-19T16:22:22.730218+00:00 | Blink! | Corbyn Besson | source:connmedia-amperwave
2026-04-19T16:23:02.933326+00:00 | Levitating | Dua Lipa | source:connmedia-amperwave
2026-04-19T16:23:44.898673+00:00 | Levitating | Dua Lipa | source:connmedia-amperwave
2026-04-19T16:24:31.026966+00:00 | Levitating | Dua Lipa | source:connmedia-amperwave
2026-04-19T16:25:22.663945+00:00 | Levitating | Dua Lipa | source:connmedia-amperwave
2026-04-19T16:26:28.695735+00:00 | Fever | Alex Warren | source:connmedia-amperwave
2026-04-19T16:27:11.716526+00:00 | Fever | Alex Warren | source:connmedia-amperwave
2026-04-19T16:27:53.599551+00:00 | Fever | Alex Warren | source:connmedia-amperwave
2026-04-19T16:28:34.314038+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:29:27.920978+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:30:08.668854+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:31:19.133836+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:31:59.512248+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:32:49.263804+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:33:29.605731+00:00 | Flowers | Miley Cyrus | source:connmedia-amperwave
2026-04-19T16:34:14.900229+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T16:35:24.040975+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T16:36:03.709444+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T16:36:46.206612+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T16:37:32.646293+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T16:38:18.828138+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T16:38:59.810822+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T16:39:55.073502+00:00 | Go Go | Blackpink | source:connmedia-amperwave
2026-04-19T16:40:36.787546+00:00 | Go Go | Blackpink | source:connmedia-amperwave
2026-04-19T16:41:17.320152+00:00 | Go Go | Blackpink | source:connmedia-amperwave
2026-04-19T16:41:59.316776+00:00 | Go Go | Blackpink | source:connmedia-amperwave
2026-04-19T16:42:40.070258+00:00 | Roses | Chainsmokers | source:connmedia-amperwave
2026-04-19T16:43:21.703360+00:00 | Roses | Chainsmokers | source:connmedia-amperwave
2026-04-19T16:44:01.755552+00:00 | Roses | Chainsmokers | source:connmedia-amperwave
2026-04-19T16:44:42.690722+00:00 | Roses | Chainsmokers | source:connmedia-amperwave
2026-04-19T16:45:31.656137+00:00 | Don'T Stop The Party | Pitbull | source:connmedia-amperwave
2026-04-19T16:46:16.053125+00:00 | Don'T Stop The Party | Pitbull | source:connmedia-amperwave
2026-04-19T16:46:57.965779+00:00 | Don'T Stop The Party | Pitbull | source:connmedia-amperwave
2026-04-19T16:47:44.431430+00:00 | Don'T Stop The Party | Pitbull | source:connmedia-amperwave
2026-04-19T16:48:27.239760+00:00 | Don'T Stop The Party | Pitbull | source:connmedia-amperwave
2026-04-19T16:49:14.304416+00:00 | Yeah! | Usher/Lil John/Ludacris | source:connmedia-amperwave
2026-04-19T16:50:01.667929+00:00 | Yeah! | Usher/Lil John/Ludacris | source:connmedia-amperwave
2026-04-19T16:50:44.884473+00:00 | Yeah! | Usher/Lil John/Ludacris | source:connmedia-amperwave
2026-04-19T16:51:31.133428+00:00 | Yeah! | Usher/Lil John/Ludacris | source:connmedia-amperwave
2026-04-19T16:52:42.309591+00:00 | Yeah! | Usher/Lil John/Ludacris | source:connmedia-amperwave
2026-04-19T16:53:28.351284+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T16:54:14.503959+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T16:54:55.454956+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T16:55:36.366030+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T16:56:38.482517+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T16:57:18.281350+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T16:57:59.258692+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T16:58:38.768483+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T16:59:20.348818+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:00:00.376127+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:00:42.462329+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:01:22.915734+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:02:05.843265+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:02:47.381677+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:03:33.750253+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:04:29.298195+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:05:16.066713+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:connmedia-amperwave
2026-04-19T17:06:02.460580+00:00 | One Kiss | Calvin Harris Ft Dua Lipa | source:connmedia-amperwave
2026-04-19T17:07:17.805146+00:00 | One Kiss | Calvin Harris Ft Dua Lipa | source:connmedia-amperwave
2026-04-19T17:07:57.524148+00:00 | One Kiss | Calvin Harris Ft Dua Lipa | source:connmedia-amperwave
2026-04-19T17:08:45.966207+00:00 | One Kiss | Calvin Harris Ft Dua Lipa | source:connmedia-amperwave
2026-04-19T17:09:30.088151+00:00 | Choosin Texas | Ella Langley | source:connmedia-amperwave
2026-04-19T17:10:11.090337+00:00 | Choosin Texas | Ella Langley | source:connmedia-amperwave
2026-04-19T17:10:54.422198+00:00 | Choosin Texas | Ella Langley | source:connmedia-amperwave
2026-04-19T17:11:43.433321+00:00 | Choosin Texas | Ella Langley | source:connmedia-amperwave
2026-04-19T17:12:23.490967+00:00 | Choosin Texas | Ella Langley | source:connmedia-amperwave
2026-04-19T17:13:31.790818+00:00 | Get The Party Started | Pink | source:connmedia-amperwave
2026-04-19T17:14:15.680795+00:00 | Get The Party Started | Pink | source:connmedia-amperwave
2026-04-19T17:15:03.876339+00:00 | Get The Party Started | Pink | source:connmedia-amperwave
2026-04-19T17:15:47.046270+00:00 | Get The Party Started | Pink | source:connmedia-amperwave
2026-04-19T17:16:28.665080+00:00 | Don'T Start Now | Dua Lipa | source:connmedia-amperwave
2026-04-19T17:17:08.301574+00:00 | Don'T Start Now | Dua Lipa | source:connmedia-amperwave
2026-04-19T17:17:49.931201+00:00 | Don'T Start Now | Dua Lipa | source:connmedia-amperwave
2026-04-19T17:18:36.530246+00:00 | Don'T Start Now | Dua Lipa | source:connmedia-amperwave
2026-04-19T17:19:18.532728+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:19:59.736602+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:20:40.150175+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:21:21.195942+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:22:01.668895+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:22:42.696616+00:00 | Lights | Ellie Goulding | source:connmedia-amperwave
2026-04-19T17:23:31.336960+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T17:24:13.707996+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T17:25:01.445621+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T17:26:03.004055+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T17:26:43.559311+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T17:27:44.238838+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:28:26.260665+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:29:07.932768+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:29:51.318183+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:30:32.423557+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:31:13.556035+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:32:20.877624+00:00 | Cruel Summer | Taylor Swift | source:connmedia-amperwave
2026-04-19T17:33:01.208363+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T17:33:44.398518+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T17:34:30.955670+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T17:35:11.519620+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T17:35:52.224375+00:00 | Hot Line Bling | Drake | source:connmedia-amperwave
2026-04-19T17:36:38.150897+00:00 | Hot Line Bling | Drake | source:connmedia-amperwave
2026-04-19T17:37:18.805241+00:00 | Hot Line Bling | Drake | source:connmedia-amperwave
2026-04-19T17:38:01.636702+00:00 | Hot Line Bling | Drake | source:connmedia-amperwave
2026-04-19T17:38:40.981636+00:00 | Hot Line Bling | Drake | source:connmedia-amperwave
2026-04-19T17:39:21.982588+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T17:40:02.455476+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T17:40:46.000510+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T17:41:26.004766+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T17:42:31.988919+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T17:43:12.362776+00:00 | Low | Flo Rida | source:connmedia-amperwave
2026-04-19T17:43:52.912033+00:00 | Low | Flo Rida | source:connmedia-amperwave
2026-04-19T17:45:02.303757+00:00 | Low | Flo Rida | source:connmedia-amperwave
2026-04-19T17:45:41.696099+00:00 | Low | Flo Rida | source:connmedia-amperwave
2026-04-19T17:46:33.688656+00:00 | Ordinary | Alex Warren | source:connmedia-amperwave
2026-04-19T17:47:15.695382+00:00 | Ordinary | Alex Warren | source:connmedia-amperwave
2026-04-19T17:47:55.978292+00:00 | Ordinary | Alex Warren | source:connmedia-amperwave
2026-04-19T17:48:44.742721+00:00 | Ordinary | Alex Warren | source:connmedia-amperwave
2026-04-19T17:49:27.638301+00:00 | Ordinary | Alex Warren | source:connmedia-amperwave
2026-04-19T17:50:15.501180+00:00 | Sunroof | Nicky Youre & Dazy | source:connmedia-amperwave
2026-04-19T17:51:21.109551+00:00 | Sunroof | Nicky Youre & Dazy | source:connmedia-amperwave
2026-04-19T17:52:13.296505+00:00 | We Found Love | Rihanna | source:connmedia-amperwave
2026-04-19T17:53:22.842767+00:00 | We Found Love | Rihanna | source:connmedia-amperwave
2026-04-19T17:54:02.179840+00:00 | We Found Love | Rihanna | source:connmedia-amperwave
2026-04-19T17:54:44.748042+00:00 | We Found Love | Rihanna | source:connmedia-amperwave
2026-04-19T17:55:25.682503+00:00 | We Found Love | Rihanna | source:connmedia-amperwave
2026-04-19T17:56:07.355447+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T17:56:47.573008+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T17:57:30.021163+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T17:58:09.603122+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T17:58:51.595186+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T17:59:31.388843+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T18:00:13.193717+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T18:00:53.479757+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T18:01:55.833469+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:02:36.921532+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:03:33.186469+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:04:15.405532+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:04:56.338834+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:05:41.920539+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:06:31.421151+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:07:11.687256+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:08:21.260939+00:00 | Espresso | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:09:02.708124+00:00 | Closer | Chainsmokers/ Halsey | source:connmedia-amperwave
2026-04-19T18:09:45.034049+00:00 | Closer | Chainsmokers/ Halsey | source:connmedia-amperwave
2026-04-19T18:10:35.908287+00:00 | Closer | Chainsmokers/ Halsey | source:connmedia-amperwave
2026-04-19T18:11:36.977345+00:00 | Closer | Chainsmokers/ Halsey | source:connmedia-amperwave
2026-04-19T18:12:25.330850+00:00 | Closer | Chainsmokers/ Halsey | source:connmedia-amperwave
2026-04-19T18:13:05.685156+00:00 | Dies On This Hill | Siebba Spiro | source:connmedia-amperwave
2026-04-19T18:13:45.849895+00:00 | Dies On This Hill | Siebba Spiro | source:connmedia-amperwave
2026-04-19T18:14:25.655330+00:00 | Dies On This Hill | Siebba Spiro | source:connmedia-amperwave
2026-04-19T18:15:12.547878+00:00 | Dies On This Hill | Siebba Spiro | source:connmedia-amperwave
2026-04-19T18:15:54.955288+00:00 | Dies On This Hill | Siebba Spiro | source:connmedia-amperwave
2026-04-19T18:16:35.885602+00:00 | All Star | Smash Mouth | source:connmedia-amperwave
2026-04-19T18:17:15.922465+00:00 | All Star | Smash Mouth | source:connmedia-amperwave
2026-04-19T18:17:57.790608+00:00 | All Star | Smash Mouth | source:connmedia-amperwave
2026-04-19T18:18:44.779069+00:00 | All Star | Smash Mouth | source:connmedia-amperwave
2026-04-19T18:19:25.328872+00:00 | All Star | Smash Mouth | source:connmedia-amperwave
2026-04-19T18:20:32.570090+00:00 | Hideaway | Daya | source:connmedia-amperwave
2026-04-19T18:21:19.386230+00:00 | Hideaway | Daya | source:connmedia-amperwave
2026-04-19T18:22:05.874941+00:00 | Hideaway | Daya | source:connmedia-amperwave
2026-04-19T18:23:16.688743+00:00 | Rockstar | Post Malone Ft. 21 Savage | source:connmedia-amperwave
2026-04-19T18:23:57.200929+00:00 | Rockstar | Post Malone Ft. 21 Savage | source:connmedia-amperwave
2026-04-19T18:24:47.108122+00:00 | Rockstar | Post Malone Ft. 21 Savage | source:connmedia-amperwave
2026-04-19T18:25:29.305101+00:00 | Rockstar | Post Malone Ft. 21 Savage | source:connmedia-amperwave
2026-04-19T18:26:10.115145+00:00 | Rockstar | Post Malone Ft. 21 Savage | source:connmedia-amperwave
2026-04-19T18:26:52.848920+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T18:27:35.359562+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T18:28:15.189609+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T18:29:28.252850+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:30:13.165502+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:31:26.442490+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:32:10.797679+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:32:52.982184+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:33:44.880441+00:00 | Thats What I Like | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:34:25.441666+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T18:35:17.459231+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T18:35:59.410948+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T18:36:39.756530+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T18:37:19.831270+00:00 | American Girls | Harry Styles | source:connmedia-amperwave
2026-04-19T18:38:19.989125+00:00 | Nice For What | Drake | source:connmedia-amperwave
